,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionTrain
0,1호선,서울역,133,20220926,20221225,100,소요산역,141,구로역,132,시청역,1,0,MON,08,10,23
0,1호선,서울역,133,20220926,20221225,100,소요산역,141,구로역,132,시청역,1,0,MON,08,20,47
0,1호선,서울역,133,20220926,20221225,100,소요산역,141,구로역,132,시청역,1,0,MON,08,30,47
0,1호선,서울역,133,20220926,20221225,100,소요산역,141,구로역,132,시청역,1,0,MON,08,40,50
0,1호선,서울역,133,20220926,20221225,100,소요산역,141,구로역,132,시청역,1,0,MON,08,50,50
1,1호선,서울역,133,20220926,20221225,100,소요산역,161,인천역,132,시청역,1,0,MON,08,00,56
1,1호선,서울역,133,20220926,20221225,100,소요산역,161,인천역,132,시청역,1,0,MON,08,10,56
1,1호선,서울역,133,20220926,20221225,100,소요산역,161,인천역,132,시청역,1,0,MON,08,20,27
1,1호선,서울역,133,20220926,20221225,100,소요산역,161,인천역,132,시청역,1,0,MON,08,30,19
1,1호선,서울역,133,20220926,20221225,100,소요산역,161,인천역,132,시청역,1,0,MON,08,40,39
1,1호선,서울역,133,20220926,20221225,100,소요산역,161,인천역,132,시청역,1,0,MON,08,50,39
3,1호선,서울역,133,20220926,20221225,101,동두천역,152,부평역,132,시청역,1,0,MON,08,20,21
3,1호선,서울역,133,20220926,20221225,101,동두천역,152,부평역,132,시청역,1,0,MON,08,30,42
3,1호선,서울역,133,20220926,20221225,101,동두천역,152,부평역,132,시청역,1,0,MON,08,40,42
3,1호선,서울역,133,20220926,20221225,101,동두천역,152,부평역,132,시청역,1,0,MON,08,50,42
4,1호선,서울역,133,20220926,20221225,101,동두천역,161,인천역,132,시청역,1,0,MON,08,00,51
4,1호선,서울역,133,20220926,20221225,101,동두천역,161,인천역,132,시청역,1,0,MON,08,10,71
4,1호선,서울역,133,20220926,20221225,101,동두천역,161,인천역,132,시청역,1,0,MON,08,20,60
4,1호선,서울역,133,20220926,20221225,101,동두천역,161,인천역,132,시청역,1,0,MON,08,30,57
4,1호선,서울역,133,20220926,20221225,101,동두천역,161,인천역,132,시청역,1,0,MON,08,40,57
4,1호선,서울역,133,20220926,20221225,101,동두천역,161,인천역,132,시청역,1,0,MON,08,50,45
5,1호선,서울역,133,20220926,20221225,101,동두천역,161,인천역,132,시청역,1,1,MON,08,00,61
5,1호선,서울역,133,20220926,20221225,101,동두천역,161,인천역,132,시청역,1,1,MON,08,10,62
5,1호선,서울역,133,20220926,20221225,101,동두천역,161,인천역,132,시청역,1,1,MON,08,20,62
5,1호선,서울역,133,20220926,20221225,101,동두천역,161,인천역,132,시청역,1,1,MON,08,30,31
8,1호선,서울역,133,20220926,20221225,107,양주역,152,부평역,132,시청역,1,0,MON,08,10,27
8,1호선,서울역,133,20220926,20221225,107,양주역,152,부평역,132,시청역,1,0,MON,08,20,55
8,1호선,서울역,133,20220926,20221225,107,양주역,152,부평역,132,시청역,1,0,MON,08,30,55
8,1호선,서울역,133,20220926,20221225,107,양주역,152,부평역,132,시청역,1,0,MON,08,40,27
9,1호선,서울역,133,20220926,20221225,107,양주역,161,인천역,132,시청역,1,0,MON,08,00,63
9,1호선,서울역,133,20220926,20221225,107,양주역,161,인천역,132,시청역,1,0,MON,08,10,57
9,1호선,서울역,133,20220926,20221225,107,양주역,161,인천역,132,시청역,1,0,MON,08,20,51
9,1호선,서울역,133,20220926,20221225,107,양주역,161,인천역,132,시청역,1,0,MON,08,30,51
9,1호선,서울역,133,20220926,20221225,107,양주역,161,인천역,132,시청역,1,0,MON,08,40,53
9,1호선,서울역,133,20220926,20221225,107,양주역,161,인천역,132,시청역,1,0,MON,08,50,50
12,1호선,서울역,133,20220926,20221225,110,의정부역,P157-1,서동탄역,132,시청역,1,0,MON,08,00,74
12,1호선,서울역,133,20220926,20221225,110,의정부역,P157-1,서동탄역,132,시청역,1,0,MON,08,10,70
12,1호선,서울역,133,20220926,20221225,110,의정부역,P157-1,서동탄역,132,시청역,1,0,MON,08,20,70
