,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionTrain
3,2호선,건대입구역,212,20220929,20221228,211,성수역,211,성수역,213,구의역,0,0,MON,09,00,13
3,2호선,건대입구역,212,20220929,20221228,211,성수역,211,성수역,213,구의역,0,0,MON,09,10,19
3,2호선,건대입구역,212,20220929,20221228,211,성수역,211,성수역,213,구의역,0,0,MON,09,20,16
3,2호선,건대입구역,212,20220929,20221228,211,성수역,211,성수역,213,구의역,0,0,MON,09,30,16
3,2호선,건대입구역,212,20220929,20221228,211,성수역,211,성수역,213,구의역,0,0,MON,09,40,15
3,2호선,건대입구역,212,20220929,20221228,211,성수역,211,성수역,213,구의역,0,0,MON,09,50,11
4,2호선,건대입구역,212,20220929,20221228,211,성수역,211,성수역,211,성수역,1,0,MON,09,00,56
4,2호선,건대입구역,212,20220929,20221228,211,성수역,211,성수역,211,성수역,1,0,MON,09,10,56
4,2호선,건대입구역,212,20220929,20221228,211,성수역,211,성수역,211,성수역,1,0,MON,09,20,28
5,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,213,구의역,0,0,MON,09,00,38
5,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,213,구의역,0,0,MON,09,10,29
5,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,213,구의역,0,0,MON,09,20,24
5,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,213,구의역,0,0,MON,09,30,24
5,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,213,구의역,0,0,MON,09,40,27
5,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,213,구의역,0,0,MON,09,50,35
6,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,211,성수역,1,0,MON,09,00,38
6,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,211,성수역,1,0,MON,09,10,35
6,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,211,성수역,1,0,MON,09,20,31
6,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,211,성수역,1,0,MON,09,30,45
6,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,211,성수역,1,0,MON,09,40,29
6,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,211,성수역,1,0,MON,09,50,26
9,2호선,건대입구역,212,20220929,20221228,211,성수역,234,신도림역,211,성수역,1,0,MON,09,00,48
9,2호선,건대입구역,212,20220929,20221228,211,성수역,234,신도림역,211,성수역,1,0,MON,09,10,48
9,2호선,건대입구역,212,20220929,20221228,211,성수역,234,신도림역,211,성수역,1,0,MON,09,20,64
9,2호선,건대입구역,212,20220929,20221228,211,성수역,234,신도림역,211,성수역,1,0,MON,09,30,77
9,2호선,건대입구역,212,20220929,20221228,211,성수역,234,신도림역,211,성수역,1,0,MON,09,40,41
9,2호선,건대입구역,212,20220929,20221228,211,성수역,234,신도림역,211,성수역,1,0,MON,09,50,40
15,2호선,건대입구역,212,20220929,20221228,234,신도림역,211-R,성수역,213,구의역,0,0,MON,09,00,51
15,2호선,건대입구역,212,20220929,20221228,234,신도림역,211-R,성수역,213,구의역,0,0,MON,09,10,66
15,2호선,건대입구역,212,20220929,20221228,234,신도림역,211-R,성수역,213,구의역,0,0,MON,09,20,33
5,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,213,구의역,0,0,SUN,07,00,4
5,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,213,구의역,0,0,SUN,07,10,4
5,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,213,구의역,0,0,SUN,07,20,4
5,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,213,구의역,0,0,SUN,07,30,5
5,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,213,구의역,0,0,SUN,07,40,4
5,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,213,구의역,0,0,SUN,07,50,5
6,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,211,성수역,1,0,SUN,07,00,4
6,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,211,성수역,1,0,SUN,07,10,5
