,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionTrain
3,2호선,교대역,223,20220927,20221226,211,성수역,211,성수역,224,서초역,0,0,SAT,08,00,32
3,2호선,교대역,223,20220927,20221226,211,성수역,211,성수역,224,서초역,0,0,SAT,08,10,63
3,2호선,교대역,223,20220927,20221226,211,성수역,211,성수역,224,서초역,0,0,SAT,08,20,63
3,2호선,교대역,223,20220927,20221226,211,성수역,211,성수역,224,서초역,0,0,SAT,08,30,63
3,2호선,교대역,223,20220927,20221226,211,성수역,211,성수역,224,서초역,0,0,SAT,08,40,62
3,2호선,교대역,223,20220927,20221226,211,성수역,211,성수역,224,서초역,0,0,SAT,08,50,62
4,2호선,교대역,223,20220927,20221226,211,성수역,211,성수역,222,강남역,1,0,SAT,08,50,14
5,2호선,교대역,223,20220927,20221226,211,성수역,211-R,성수역,224,서초역,0,0,SAT,08,00,49
5,2호선,교대역,223,20220927,20221226,211,성수역,211-R,성수역,224,서초역,0,0,SAT,08,10,54
5,2호선,교대역,223,20220927,20221226,211,성수역,211-R,성수역,224,서초역,0,0,SAT,08,20,74
5,2호선,교대역,223,20220927,20221226,211,성수역,211-R,성수역,224,서초역,0,0,SAT,08,30,77
5,2호선,교대역,223,20220927,20221226,211,성수역,211-R,성수역,224,서초역,0,0,SAT,08,40,97
5,2호선,교대역,223,20220927,20221226,211,성수역,211-R,성수역,224,서초역,0,0,SAT,08,50,76
6,2호선,교대역,223,20220927,20221226,211,성수역,211-R,성수역,222,강남역,1,0,SAT,08,00,16
6,2호선,교대역,223,20220927,20221226,211,성수역,211-R,성수역,222,강남역,1,0,SAT,08,10,19
6,2호선,교대역,223,20220927,20221226,211,성수역,211-R,성수역,222,강남역,1,0,SAT,08,20,19
6,2호선,교대역,223,20220927,20221226,211,성수역,211-R,성수역,222,강남역,1,0,SAT,08,30,18
6,2호선,교대역,223,20220927,20221226,211,성수역,211-R,성수역,222,강남역,1,0,SAT,08,40,22
6,2호선,교대역,223,20220927,20221226,211,성수역,211-R,성수역,222,강남역,1,0,SAT,08,50,18
15,2호선,교대역,223,20220927,20221226,234,신도림역,211-R,성수역,224,서초역,0,0,SAT,08,00,36
15,2호선,교대역,223,20220927,20221226,234,신도림역,211-R,성수역,224,서초역,0,0,SAT,08,10,36
15,2호선,교대역,223,20220927,20221226,234,신도림역,211-R,성수역,224,서초역,0,0,SAT,08,20,36
15,2호선,교대역,223,20220927,20221226,234,신도림역,211-R,성수역,224,서초역,0,0,SAT,08,30,18
15,2호선,교대역,223,20220927,20221226,234,신도림역,211-R,성수역,224,서초역,0,0,SAT,08,40,29
15,2호선,교대역,223,20220927,20221226,234,신도림역,211-R,성수역,224,서초역,0,0,SAT,08,50,59
5,2호선,교대역,223,20220927,20221226,211,성수역,211-R,성수역,224,서초역,0,0,TUE,16,00,43
5,2호선,교대역,223,20220927,20221226,211,성수역,211-R,성수역,224,서초역,0,0,TUE,16,10,47
5,2호선,교대역,223,20220927,20221226,211,성수역,211-R,성수역,224,서초역,0,0,TUE,16,20,54
5,2호선,교대역,223,20220927,20221226,211,성수역,211-R,성수역,224,서초역,0,0,TUE,16,30,59
5,2호선,교대역,223,20220927,20221226,211,성수역,211-R,성수역,224,서초역,0,0,TUE,16,40,53
5,2호선,교대역,223,20220927,20221226,211,성수역,211-R,성수역,224,서초역,0,0,TUE,16,50,48
6,2호선,교대역,223,20220927,20221226,211,성수역,211-R,성수역,222,강남역,1,0,TUE,16,00,79
6,2호선,교대역,223,20220927,20221226,211,성수역,211-R,성수역,222,강남역,1,0,TUE,16,10,104
6,2호선,교대역,223,20220927,20221226,211,성수역,211-R,성수역,222,강남역,1,0,TUE,16,20,98
6,2호선,교대역,223,20220927,20221226,211,성수역,211-R,성수역,222,강남역,1,0,TUE,16,30,98
6,2호선,교대역,223,20220927,20221226,211,성수역,211-R,성수역,222,강남역,1,0,TUE,16,40,83
6,2호선,교대역,223,20220927,20221226,211,성수역,211-R,성수역,222,강남역,1,0,TUE,16,50,99
15,2호선,교대역,223,20220927,20221226,234,신도림역,211-R,성수역,224,서초역,0,0,TUE,16,30,13
