,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionTrain
3,2호선,시청역,201,20220929,20221228,211,성수역,211,성수역,202,을지로입구역,0,0,MON,19,00,64
3,2호선,시청역,201,20220929,20221228,211,성수역,211,성수역,202,을지로입구역,0,0,MON,19,10,58
3,2호선,시청역,201,20220929,20221228,211,성수역,211,성수역,202,을지로입구역,0,0,MON,19,20,44
3,2호선,시청역,201,20220929,20221228,211,성수역,211,성수역,202,을지로입구역,0,0,MON,19,30,44
3,2호선,시청역,201,20220929,20221228,211,성수역,211,성수역,202,을지로입구역,0,0,MON,19,40,22
4,2호선,시청역,201,20220929,20221228,211,성수역,211,성수역,243,충정로역,1,0,MON,19,20,6
4,2호선,시청역,201,20220929,20221228,211,성수역,211,성수역,243,충정로역,1,0,MON,19,30,13
4,2호선,시청역,201,20220929,20221228,211,성수역,211,성수역,243,충정로역,1,0,MON,19,40,13
4,2호선,시청역,201,20220929,20221228,211,성수역,211,성수역,243,충정로역,1,0,MON,19,50,13
5,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,202,을지로입구역,0,0,MON,19,00,62
5,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,202,을지로입구역,0,0,MON,19,10,57
5,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,202,을지로입구역,0,0,MON,19,20,50
5,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,202,을지로입구역,0,0,MON,19,30,49
5,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,202,을지로입구역,0,0,MON,19,40,47
5,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,202,을지로입구역,0,0,MON,19,50,33
6,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,243,충정로역,1,0,MON,19,00,28
6,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,243,충정로역,1,0,MON,19,10,29
6,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,243,충정로역,1,0,MON,19,20,26
6,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,243,충정로역,1,0,MON,19,30,20
6,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,243,충정로역,1,0,MON,19,40,19
6,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,243,충정로역,1,0,MON,19,50,15
9,2호선,시청역,201,20220929,20221228,211,성수역,234,신도림역,202,을지로입구역,0,0,MON,19,00,62
9,2호선,시청역,201,20220929,20221228,211,성수역,234,신도림역,202,을지로입구역,0,0,MON,19,10,48
9,2호선,시청역,201,20220929,20221228,211,성수역,234,신도림역,202,을지로입구역,0,0,MON,19,20,39
9,2호선,시청역,201,20220929,20221228,211,성수역,234,신도림역,202,을지로입구역,0,0,MON,19,30,49
9,2호선,시청역,201,20220929,20221228,211,성수역,234,신도림역,202,을지로입구역,0,0,MON,19,40,37
9,2호선,시청역,201,20220929,20221228,211,성수역,234,신도림역,202,을지로입구역,0,0,MON,19,50,45
15,2호선,시청역,201,20220929,20221228,234,신도림역,211-R,성수역,243,충정로역,1,0,MON,19,00,17
3,2호선,시청역,201,20220929,20221228,211,성수역,211,성수역,202,을지로입구역,0,0,SUN,17,00,41
3,2호선,시청역,201,20220929,20221228,211,성수역,211,성수역,202,을지로입구역,0,0,SUN,17,10,20
4,2호선,시청역,201,20220929,20221228,211,성수역,211,성수역,243,충정로역,1,0,SUN,17,50,8
5,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,202,을지로입구역,0,0,SUN,17,00,28
5,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,202,을지로입구역,0,0,SUN,17,10,33
5,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,202,을지로입구역,0,0,SUN,17,20,33
5,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,202,을지로입구역,0,0,SUN,17,30,37
5,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,202,을지로입구역,0,0,SUN,17,40,36
5,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,202,을지로입구역,0,0,SUN,17,50,21
6,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,243,충정로역,1,0,SUN,17,00,24
6,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,243,충정로역,1,0,SUN,17,10,27
6,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,243,충정로역,1,0,SUN,17,20,27
6,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,243,충정로역,1,0,SUN,17,30,26
6,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,243,충정로역,1,0,SUN,17,40,35
6,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,243,충정로역,1,0,SUN,17,50,26
9,2호선,시청역,201,20220929,20221228,211,성수역,234,신도림역,202,을지로입구역,0,0,SUN,17,20,20
9,2호선,시청역,201,20220929,20221228,211,성수역,234,신도림역,202,을지로입구역,0,0,SUN,17,30,41
9,2호선,시청역,201,20220929,20221228,211,성수역,234,신도림역,202,을지로입구역,0,0,SUN,17,40,41
9,2호선,시청역,201,20220929,20221228,211,성수역,234,신도림역,202,을지로입구역,0,0,SUN,17,50,34
15,2호선,시청역,201,20220929,20221228,234,신도림역,211-R,성수역,243,충정로역,1,0,SUN,17,50,7
5,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,202,을지로입구역,0,0,THU,06,00,17
5,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,202,을지로입구역,0,0,THU,06,10,9
5,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,202,을지로입구역,0,0,THU,06,20,18
5,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,202,을지로입구역,0,0,THU,06,30,14
5,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,202,을지로입구역,0,0,THU,06,40,13
