,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionTrain
3,2호선,신림역,230,20221001,20221231,211,성수역,211,성수역,231,신대방역,0,0,SAT,18,00,27
4,2호선,신림역,230,20221001,20221231,211,성수역,211,성수역,229,봉천역,1,0,SAT,18,00,25
5,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,231,신대방역,0,0,SAT,18,00,45
5,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,231,신대방역,0,0,SAT,18,10,47
5,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,231,신대방역,0,0,SAT,18,20,44
5,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,231,신대방역,0,0,SAT,18,30,54
5,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,231,신대방역,0,0,SAT,18,40,49
5,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,231,신대방역,0,0,SAT,18,50,44
6,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,229,봉천역,1,0,SAT,18,00,60
6,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,229,봉천역,1,0,SAT,18,10,60
6,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,229,봉천역,1,0,SAT,18,20,60
6,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,229,봉천역,1,0,SAT,18,30,71
6,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,229,봉천역,1,0,SAT,18,40,68
6,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,229,봉천역,1,0,SAT,18,50,69
9,2호선,신림역,230,20221001,20221231,211,성수역,234,신도림역,229,봉천역,1,0,SAT,18,00,40
9,2호선,신림역,230,20221001,20221231,211,성수역,234,신도림역,229,봉천역,1,0,SAT,18,10,49
9,2호선,신림역,230,20221001,20221231,211,성수역,234,신도림역,229,봉천역,1,0,SAT,18,20,50
9,2호선,신림역,230,20221001,20221231,211,성수역,234,신도림역,229,봉천역,1,0,SAT,18,30,50
9,2호선,신림역,230,20221001,20221231,211,성수역,234,신도림역,229,봉천역,1,0,SAT,18,40,25
1,2호선,신림역,230,20221001,20221231,202,을지로입구역,211-R,성수역,231,신대방역,0,0,TUE,06,00,37
1,2호선,신림역,230,20221001,20221231,202,을지로입구역,211-R,성수역,231,신대방역,0,0,TUE,06,10,37
1,2호선,신림역,230,20221001,20221231,202,을지로입구역,211-R,성수역,231,신대방역,0,0,TUE,06,20,18
5,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,231,신대방역,0,0,TUE,06,00,49
5,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,231,신대방역,0,0,TUE,06,10,49
5,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,231,신대방역,0,0,TUE,06,20,42
5,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,231,신대방역,0,0,TUE,06,30,43
5,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,231,신대방역,0,0,TUE,06,40,45
