,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionTrain
3,2호선,왕십리역,208,20220929,20221228,211,성수역,211,성수역,209,한양대역,0,0,FRI,18,20,63
3,2호선,왕십리역,208,20220929,20221228,211,성수역,211,성수역,209,한양대역,0,0,FRI,18,30,126
3,2호선,왕십리역,208,20220929,20221228,211,성수역,211,성수역,209,한양대역,0,0,FRI,18,40,106
3,2호선,왕십리역,208,20220929,20221228,211,성수역,211,성수역,209,한양대역,0,0,FRI,18,50,98
5,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,209,한양대역,0,0,FRI,18,00,81
5,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,209,한양대역,0,0,FRI,18,10,115
5,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,209,한양대역,0,0,FRI,18,20,124
5,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,209,한양대역,0,0,FRI,18,30,108
5,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,209,한양대역,0,0,FRI,18,40,106
5,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,209,한양대역,0,0,FRI,18,50,80
6,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,207,상왕십리역,1,0,FRI,18,00,113
6,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,207,상왕십리역,1,0,FRI,18,10,130
6,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,207,상왕십리역,1,0,FRI,18,20,142
6,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,207,상왕십리역,1,0,FRI,18,30,129
6,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,207,상왕십리역,1,0,FRI,18,40,87
6,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,207,상왕십리역,1,0,FRI,18,50,87
9,2호선,왕십리역,208,20220929,20221228,211,성수역,234,신도림역,209,한양대역,0,0,FRI,18,30,38
9,2호선,왕십리역,208,20220929,20221228,211,성수역,234,신도림역,209,한양대역,0,0,FRI,18,40,76
9,2호선,왕십리역,208,20220929,20221228,211,성수역,234,신도림역,209,한양대역,0,0,FRI,18,50,76
15,2호선,왕십리역,208,20220929,20221228,234,신도림역,211-R,성수역,207,상왕십리역,1,0,FRI,18,00,109
15,2호선,왕십리역,208,20220929,20221228,234,신도림역,211-R,성수역,207,상왕십리역,1,0,FRI,18,10,147
15,2호선,왕십리역,208,20220929,20221228,234,신도림역,211-R,성수역,207,상왕십리역,1,0,FRI,18,20,197
15,2호선,왕십리역,208,20220929,20221228,234,신도림역,211-R,성수역,207,상왕십리역,1,0,FRI,18,30,168
15,2호선,왕십리역,208,20220929,20221228,234,신도림역,211-R,성수역,207,상왕십리역,1,0,FRI,18,40,141
15,2호선,왕십리역,208,20220929,20221228,234,신도림역,211-R,성수역,207,상왕십리역,1,0,FRI,18,50,94
5,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,209,한양대역,0,0,TUE,17,00,49
5,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,209,한양대역,0,0,TUE,17,10,46
5,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,209,한양대역,0,0,TUE,17,20,54
5,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,209,한양대역,0,0,TUE,17,30,46
5,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,209,한양대역,0,0,TUE,17,40,63
5,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,209,한양대역,0,0,TUE,17,50,67
6,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,207,상왕십리역,1,0,TUE,17,00,67
6,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,207,상왕십리역,1,0,TUE,17,10,75
6,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,207,상왕십리역,1,0,TUE,17,20,91
6,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,207,상왕십리역,1,0,TUE,17,30,68
6,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,207,상왕십리역,1,0,TUE,17,40,79
6,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,207,상왕십리역,1,0,TUE,17,50,106
15,2호선,왕십리역,208,20220929,20221228,234,신도림역,211-R,성수역,207,상왕십리역,1,0,TUE,17,00,43
15,2호선,왕십리역,208,20220929,20221228,234,신도림역,211-R,성수역,207,상왕십리역,1,0,TUE,17,10,86
15,2호선,왕십리역,208,20220929,20221228,234,신도림역,211-R,성수역,207,상왕십리역,1,0,TUE,17,20,86
15,2호선,왕십리역,208,20220929,20221228,234,신도림역,211-R,성수역,207,상왕십리역,1,0,TUE,17,30,80
15,2호선,왕십리역,208,20220929,20221228,234,신도림역,211-R,성수역,207,상왕십리역,1,0,TUE,17,40,85
15,2호선,왕십리역,208,20220929,20221228,234,신도림역,211-R,성수역,207,상왕십리역,1,0,TUE,17,50,91
5,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,209,한양대역,0,0,WED,17,00,42
5,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,209,한양대역,0,0,WED,17,10,54
5,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,209,한양대역,0,0,WED,17,20,53
5,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,209,한양대역,0,0,WED,17,30,50
5,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,209,한양대역,0,0,WED,17,40,72
5,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,209,한양대역,0,0,WED,17,50,71
6,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,207,상왕십리역,1,0,WED,17,00,79
6,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,207,상왕십리역,1,0,WED,17,10,76
6,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,207,상왕십리역,1,0,WED,17,20,93
6,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,207,상왕십리역,1,0,WED,17,30,74
6,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,207,상왕십리역,1,0,WED,17,40,90
6,2호선,왕십리역,208,20220929,20221228,211,성수역,211-R,성수역,207,상왕십리역,1,0,WED,17,50,120
15,2호선,왕십리역,208,20220929,20221228,234,신도림역,211-R,성수역,207,상왕십리역,1,0,WED,17,00,54
15,2호선,왕십리역,208,20220929,20221228,234,신도림역,211-R,성수역,207,상왕십리역,1,0,WED,17,10,108
15,2호선,왕십리역,208,20220929,20221228,234,신도림역,211-R,성수역,207,상왕십리역,1,0,WED,17,20,108
15,2호선,왕십리역,208,20220929,20221228,234,신도림역,211-R,성수역,207,상왕십리역,1,0,WED,17,30,98
15,2호선,왕십리역,208,20220929,20221228,234,신도림역,211-R,성수역,207,상왕십리역,1,0,WED,17,40,113
15,2호선,왕십리역,208,20220929,20221228,234,신도림역,211-R,성수역,207,상왕십리역,1,0,WED,17,50,128
