,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionTrain
3,2호선,잠실역,216,20220927,20221226,211,성수역,211,성수역,217,잠실새내역,0,0,SUN,19,30,6
3,2호선,잠실역,216,20220927,20221226,211,성수역,211,성수역,217,잠실새내역,0,0,SUN,19,40,14
3,2호선,잠실역,216,20220927,20221226,211,성수역,211,성수역,217,잠실새내역,0,0,SUN,19,50,14
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,SUN,19,00,24
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,SUN,19,10,25
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,SUN,19,20,25
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,SUN,19,30,23
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,SUN,19,40,23
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,SUN,19,50,21
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,SUN,19,00,19
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,SUN,19,10,19
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,SUN,19,20,19
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,SUN,19,30,17
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,SUN,19,40,17
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,SUN,19,50,17
15,2호선,잠실역,216,20220927,20221226,234,신도림역,211-R,성수역,217,잠실새내역,0,0,SUN,19,30,13
15,2호선,잠실역,216,20220927,20221226,234,신도림역,211-R,성수역,217,잠실새내역,0,0,SUN,19,40,26
15,2호선,잠실역,216,20220927,20221226,234,신도림역,211-R,성수역,217,잠실새내역,0,0,SUN,19,50,26
3,2호선,잠실역,216,20220927,20221226,211,성수역,211,성수역,217,잠실새내역,0,0,THU,08,30,15
3,2호선,잠실역,216,20220927,20221226,211,성수역,211,성수역,217,잠실새내역,0,0,THU,08,40,29
3,2호선,잠실역,216,20220927,20221226,211,성수역,211,성수역,217,잠실새내역,0,0,THU,08,50,29
4,2호선,잠실역,216,20220927,20221226,211,성수역,211,성수역,215,잠실나루역,1,0,THU,08,00,79
4,2호선,잠실역,216,20220927,20221226,211,성수역,211,성수역,215,잠실나루역,1,0,THU,08,10,79
4,2호선,잠실역,216,20220927,20221226,211,성수역,211,성수역,215,잠실나루역,1,0,THU,08,20,133
4,2호선,잠실역,216,20220927,20221226,211,성수역,211,성수역,215,잠실나루역,1,0,THU,08,30,131
4,2호선,잠실역,216,20220927,20221226,211,성수역,211,성수역,215,잠실나루역,1,0,THU,08,40,118
4,2호선,잠실역,216,20220927,20221226,211,성수역,211,성수역,215,잠실나루역,1,0,THU,08,50,96
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,THU,08,00,42
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,THU,08,10,53
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,THU,08,20,48
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,THU,08,30,53
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,THU,08,40,48
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,THU,08,50,39
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,THU,08,00,71
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,THU,08,10,82
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,THU,08,20,108
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,THU,08,30,112
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,THU,08,40,91
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,THU,08,50,74
15,2호선,잠실역,216,20220927,20221226,234,신도림역,211-R,성수역,217,잠실새내역,0,0,THU,08,00,55
15,2호선,잠실역,216,20220927,20221226,234,신도림역,211-R,성수역,217,잠실새내역,0,0,THU,08,10,72
15,2호선,잠실역,216,20220927,20221226,234,신도림역,211-R,성수역,217,잠실새내역,0,0,THU,08,20,66
15,2호선,잠실역,216,20220927,20221226,234,신도림역,211-R,성수역,217,잠실새내역,0,0,THU,08,30,68
15,2호선,잠실역,216,20220927,20221226,234,신도림역,211-R,성수역,217,잠실새내역,0,0,THU,08,40,52
15,2호선,잠실역,216,20220927,20221226,234,신도림역,211-R,성수역,217,잠실새내역,0,0,THU,08,50,41
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,MON,17,00,59
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,MON,17,10,76
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,MON,17,20,79
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,MON,17,30,67
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,MON,17,40,83
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,MON,17,50,94
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,MON,17,00,43
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,MON,17,10,47
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,MON,17,20,36
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,MON,17,30,34
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,MON,17,40,40
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,MON,17,50,31
15,2호선,잠실역,216,20220927,20221226,234,신도림역,211-R,성수역,217,잠실새내역,0,0,MON,17,00,34
15,2호선,잠실역,216,20220927,20221226,234,신도림역,211-R,성수역,217,잠실새내역,0,0,MON,17,10,68
15,2호선,잠실역,216,20220927,20221226,234,신도림역,211-R,성수역,217,잠실새내역,0,0,MON,17,20,68
15,2호선,잠실역,216,20220927,20221226,234,신도림역,211-R,성수역,217,잠실새내역,0,0,MON,17,30,34
15,2호선,잠실역,216,20220927,20221226,234,신도림역,211-R,성수역,217,잠실새내역,0,0,MON,17,40,48
15,2호선,잠실역,216,20220927,20221226,234,신도림역,211-R,성수역,217,잠실새내역,0,0,MON,17,50,97
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,FRI,16,00,58
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,FRI,16,10,63
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,FRI,16,20,81
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,FRI,16,30,72
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,FRI,16,40,67
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,FRI,16,50,75
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,FRI,16,00,39
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,FRI,16,10,38
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,FRI,16,20,40
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,FRI,16,30,39
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,FRI,16,40,48
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,FRI,16,50,53
15,2호선,잠실역,216,20220927,20221226,234,신도림역,211-R,성수역,217,잠실새내역,0,0,FRI,16,40,23
15,2호선,잠실역,216,20220927,20221226,234,신도림역,211-R,성수역,217,잠실새내역,0,0,FRI,16,50,46
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,SAT,07,00,13
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,SAT,07,10,12
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,SAT,07,20,11
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,SAT,07,30,9
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,SAT,07,40,12
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,SAT,07,50,13
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,SAT,07,00,11
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,SAT,07,10,8
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,SAT,07,20,12
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,SAT,07,30,11
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,SAT,07,40,9
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,SAT,07,50,14
15,2호선,잠실역,216,20220927,20221226,234,신도림역,211-R,성수역,217,잠실새내역,0,0,SAT,07,00,9
15,2호선,잠실역,216,20220927,20221226,234,신도림역,211-R,성수역,217,잠실새내역,0,0,SAT,07,10,4
3,2호선,잠실역,216,20220927,20221226,211,성수역,211,성수역,217,잠실새내역,0,0,WED,19,20,17
3,2호선,잠실역,216,20220927,20221226,211,성수역,211,성수역,217,잠실새내역,0,0,WED,19,30,34
3,2호선,잠실역,216,20220927,20221226,211,성수역,211,성수역,217,잠실새내역,0,0,WED,19,40,34
3,2호선,잠실역,216,20220927,20221226,211,성수역,211,성수역,217,잠실새내역,0,0,WED,19,50,40
4,2호선,잠실역,216,20220927,20221226,211,성수역,211,성수역,215,잠실나루역,1,0,WED,19,00,42
4,2호선,잠실역,216,20220927,20221226,211,성수역,211,성수역,215,잠실나루역,1,0,WED,19,10,29
4,2호선,잠실역,216,20220927,20221226,211,성수역,211,성수역,215,잠실나루역,1,0,WED,19,20,41
4,2호선,잠실역,216,20220927,20221226,211,성수역,211,성수역,215,잠실나루역,1,0,WED,19,30,22
4,2호선,잠실역,216,20220927,20221226,211,성수역,211,성수역,215,잠실나루역,1,0,WED,19,40,23
4,2호선,잠실역,216,20220927,20221226,211,성수역,211,성수역,215,잠실나루역,1,0,WED,19,50,20
