,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar
4,2호선,건대입구역,212,20220929,20221228,211,성수역,211,성수역,211,성수역,1,0,TUE,18,10,"[34, 36, 44, 35, 36, 35, 38, 37, 34, 42]"
4,2호선,건대입구역,212,20220929,20221228,211,성수역,211,성수역,211,성수역,1,0,TUE,18,20,"[76, 74, 91, 79, 63, 65, 73, 79, 66, 75]"
4,2호선,건대입구역,212,20220929,20221228,211,성수역,211,성수역,211,성수역,1,0,TUE,18,30,"[73, 65, 85, 83, 72, 71, 77, 74, 68, 73]"
4,2호선,건대입구역,212,20220929,20221228,211,성수역,211,성수역,211,성수역,1,0,TUE,18,40,"[83, 73, 92, 82, 70, 72, 81, 85, 66, 76]"
4,2호선,건대입구역,212,20220929,20221228,211,성수역,211,성수역,211,성수역,1,0,TUE,18,50,"[56, 57, 70, 57, 51, 55, 73, 70, 57, 55]"
5,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,213,구의역,0,0,TUE,18,00,"[59, 66, 63, 62, 58, 64, 77, 71, 53, 46]"
5,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,213,구의역,0,0,TUE,18,10,"[62, 71, 72, 65, 65, 75, 82, 78, 61, 49]"
5,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,213,구의역,0,0,TUE,18,20,"[77, 90, 77, 94, 89, 107, 124, 104, 77, 72]"
5,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,213,구의역,0,0,TUE,18,30,"[75, 81, 85, 86, 75, 100, 113, 99, 84, 81]"
5,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,213,구의역,0,0,TUE,18,40,"[51, 64, 52, 57, 53, 71, 72, 77, 62, 59]"
5,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,213,구의역,0,0,TUE,18,50,"[39, 51, 49, 52, 47, 57, 61, 57, 47, 48]"
6,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,211,성수역,1,0,TUE,18,00,"[54, 58, 87, 66, 67, 60, 68, 65, 54, 62]"
6,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,211,성수역,1,0,TUE,18,10,"[40, 43, 52, 42, 42, 41, 45, 44, 40, 50]"
6,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,211,성수역,1,0,TUE,18,20,"[76, 74, 91, 79, 63, 65, 73, 79, 66, 75]"
6,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,211,성수역,1,0,TUE,18,30,"[63, 57, 74, 72, 62, 61, 67, 64, 58, 63]"
6,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,211,성수역,1,0,TUE,18,40,"[59, 52, 66, 59, 50, 52, 58, 61, 47, 54]"
6,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,211,성수역,1,0,TUE,18,50,"[63, 64, 80, 65, 58, 62, 83, 79, 64, 62]"
9,2호선,건대입구역,212,20220929,20221228,211,성수역,234,신도림역,211,성수역,1,0,TUE,18,40,"[24, 22, 27, 24, 21, 21, 24, 25, 19, 22]"
9,2호선,건대입구역,212,20220929,20221228,211,성수역,234,신도림역,211,성수역,1,0,TUE,18,50,"[44, 44, 55, 45, 40, 43, 57, 54, 44, 43]"
15,2호선,건대입구역,212,20220929,20221228,234,신도림역,211-R,성수역,213,구의역,0,0,TUE,18,00,"[42, 47, 45, 44, 41, 46, 55, 50, 38, 32]"
15,2호선,건대입구역,212,20220929,20221228,234,신도림역,211-R,성수역,213,구의역,0,0,TUE,18,10,"[81, 92, 94, 84, 84, 97, 106, 101, 78, 63]"
15,2호선,건대입구역,212,20220929,20221228,234,신도림역,211-R,성수역,213,구의역,0,0,TUE,18,20,"[128, 150, 128, 157, 148, 179, 207, 174, 128, 120]"
15,2호선,건대입구역,212,20220929,20221228,234,신도림역,211-R,성수역,213,구의역,0,0,TUE,18,30,"[122, 131, 138, 140, 122, 163, 184, 161, 137, 131]"
15,2호선,건대입구역,212,20220929,20221228,234,신도림역,211-R,성수역,213,구의역,0,0,TUE,18,40,"[118, 148, 119, 132, 122, 165, 167, 178, 144, 137]"
15,2호선,건대입구역,212,20220929,20221228,234,신도림역,211-R,성수역,213,구의역,0,0,TUE,18,50,"[55, 71, 69, 73, 65, 80, 85, 80, 66, 67]"
4,2호선,건대입구역,212,20220929,20221228,211,성수역,211,성수역,211,성수역,1,0,WED,18,00,"[54, 58, 87, 66, 67, 60, 68, 65, 54, 62]"
4,2호선,건대입구역,212,20220929,20221228,211,성수역,211,성수역,211,성수역,1,0,WED,18,10,"[59, 62, 76, 61, 62, 60, 65, 65, 59, 73]"
4,2호선,건대입구역,212,20220929,20221228,211,성수역,211,성수역,211,성수역,1,0,WED,18,20,"[98, 96, 118, 102, 82, 84, 95, 102, 86, 97]"
4,2호선,건대입구역,212,20220929,20221228,211,성수역,211,성수역,211,성수역,1,0,WED,18,30,"[94, 85, 110, 108, 93, 91, 100, 95, 88, 95]"
4,2호선,건대입구역,212,20220929,20221228,211,성수역,211,성수역,211,성수역,1,0,WED,18,40,"[104, 92, 116, 104, 88, 90, 102, 107, 83, 95]"
4,2호선,건대입구역,212,20220929,20221228,211,성수역,211,성수역,211,성수역,1,0,WED,18,50,"[67, 68, 84, 68, 61, 66, 88, 83, 68, 66]"
5,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,213,구의역,0,0,WED,18,00,"[56, 63, 60, 59, 55, 61, 74, 67, 51, 43]"
5,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,213,구의역,0,0,WED,18,10,"[70, 80, 81, 73, 72, 84, 92, 87, 68, 55]"
5,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,213,구의역,0,0,WED,18,20,"[83, 98, 84, 102, 97, 117, 135, 113, 83, 78]"
5,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,213,구의역,0,0,WED,18,30,"[78, 84, 88, 89, 77, 104, 117, 102, 87, 83]"
5,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,213,구의역,0,0,WED,18,40,"[52, 65, 53, 58, 54, 73, 74, 79, 63, 60]"
5,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,213,구의역,0,0,WED,18,50,"[41, 53, 51, 54, 48, 60, 63, 60, 49, 50]"
6,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,211,성수역,1,0,WED,18,00,"[56, 59, 89, 68, 69, 62, 70, 67, 56, 64]"
6,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,211,성수역,1,0,WED,18,10,"[44, 47, 57, 46, 46, 45, 49, 48, 44, 54]"
6,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,211,성수역,1,0,WED,18,20,"[65, 64, 79, 68, 55, 56, 63, 68, 57, 65]"
6,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,211,성수역,1,0,WED,18,30,"[59, 53, 69, 67, 58, 57, 63, 60, 55, 59]"
6,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,211,성수역,1,0,WED,18,40,"[67, 59, 75, 67, 57, 58, 65, 69, 53, 61]"
6,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,211,성수역,1,0,WED,18,50,"[57, 58, 71, 58, 52, 56, 74, 71, 58, 56]"
9,2호선,건대입구역,212,20220929,20221228,211,성수역,234,신도림역,211,성수역,1,0,WED,18,50,"[22, 23, 28, 23, 20, 22, 29, 28, 23, 22]"
15,2호선,건대입구역,212,20220929,20221228,234,신도림역,211-R,성수역,213,구의역,0,0,WED,18,00,"[48, 55, 52, 51, 48, 53, 64, 58, 44, 38]"
15,2호선,건대입구역,212,20220929,20221228,234,신도림역,211-R,성수역,213,구의역,0,0,WED,18,10,"[94, 107, 109, 97, 97, 112, 123, 117, 91, 73]"
15,2호선,건대입구역,212,20220929,20221228,234,신도림역,211-R,성수역,213,구의역,0,0,WED,18,20,"[92, 107, 92, 113, 106, 128, 148, 125, 92, 86]"
15,2호선,건대입구역,212,20220929,20221228,234,신도림역,211-R,성수역,213,구의역,0,0,WED,18,30,"[93, 100, 106, 107, 93, 124, 141, 123, 104, 100]"
15,2호선,건대입구역,212,20220929,20221228,234,신도림역,211-R,성수역,213,구의역,0,0,WED,18,40,"[45, 56, 45, 50, 46, 62, 63, 67, 54, 52]"
1,2호선,건대입구역,212,20220929,20221228,202,을지로입구역,211-R,성수역,213,구의역,0,0,SAT,06,20,"[5, 10, 6, 5, 8, 9, 12, 9, 9, 9]"
1,2호선,건대입구역,212,20220929,20221228,202,을지로입구역,211-R,성수역,213,구의역,0,0,SAT,06,30,"[5, 10, 6, 6, 8, 9, 9, 12, 4, 10]"
1,2호선,건대입구역,212,20220929,20221228,202,을지로입구역,211-R,성수역,213,구의역,0,0,SAT,06,40,"[10, 10, 9, 4, 5, 6, 8, 8, 8, 11]"
5,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,213,구의역,0,0,SAT,06,40,"[7, 8, 7, 3, 4, 5, 6, 6, 6, 8]"
5,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,213,구의역,0,0,SAT,06,50,"[5, 6, 7, 4, 5, 4, 8, 6, 7, 9]"
6,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,211,성수역,1,0,SAT,06,00,"[1, 2, 5, 6, 3, 4, 1, 2, 1, 2]"
6,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,211,성수역,1,0,SAT,06,10,"[2, 7, 8, 8, 7, 9, 12, 10, 9, 7]"
6,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,211,성수역,1,0,SAT,06,20,"[5, 4, 7, 8, 6, 3, 5, 4, 4, 3]"
6,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,211,성수역,1,0,SAT,06,30,"[2, 7, 9, 7, 3, 6, 8, 6, 7, 6]"
6,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,211,성수역,1,0,SAT,06,40,"[2, 3, 5, 3, 3, 3, 3, 2, 3, 3]"
6,2호선,건대입구역,212,20220929,20221228,211,성수역,211-R,성수역,211,성수역,1,0,SAT,06,50,"[3, 9, 13, 8, 9, 10, 8, 3, 5, 3]"
11,2호선,건대입구역,212,20220929,20221228,219,삼성역,211-R,성수역,213,구의역,0,0,SAT,06,00,"[5, 7, 7, 8, 10, 8, 9, 4, 5, 5]"
13,2호선,건대입구역,212,20220929,20221228,228,서울대입구역,211-R,성수역,213,구의역,0,0,SAT,06,00,"[12, 16, 15, 17, 22, 16, 20, 9, 11, 12]"
13,2호선,건대입구역,212,20220929,20221228,228,서울대입구역,211-R,성수역,213,구의역,0,0,SAT,06,10,"[11, 14, 13, 11, 15, 11, 29, 14, 17, 14]"
