,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,MON,16,00,"[25, 30, 36, 41, 55, 39, 32, 32, 30, 30]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,MON,16,10,"[29, 32, 41, 44, 56, 40, 35, 33, 30, 31]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,MON,16,20,"[28, 34, 41, 47, 60, 45, 42, 42, 32, 38]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,MON,16,30,"[29, 33, 43, 45, 56, 48, 43, 39, 30, 35]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,MON,16,40,"[30, 40, 46, 52, 71, 48, 44, 39, 36, 34]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,MON,16,50,"[24, 31, 40, 43, 53, 43, 38, 39, 31, 26]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,MON,16,00,"[50, 62, 62, 84, 65, 72, 64, 55, 51, 44]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,MON,16,10,"[55, 62, 69, 76, 72, 76, 77, 68, 51, 53]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,MON,16,20,"[68, 84, 72, 88, 70, 82, 83, 76, 65, 51]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,MON,16,30,"[75, 87, 76, 101, 86, 93, 91, 85, 72, 62]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,MON,16,40,"[66, 79, 73, 87, 65, 74, 75, 68, 64, 48]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,MON,16,50,"[60, 67, 65, 88, 66, 65, 76, 71, 63, 58]"
15,2호선,봉천역,229,20221001,20221231,234,신도림역,211-R,성수역,230,신림역,0,0,MON,16,20,"[7, 8, 10, 11, 15, 11, 10, 10, 8, 9]"
15,2호선,봉천역,229,20221001,20221231,234,신도림역,211-R,성수역,230,신림역,0,0,MON,16,30,"[14, 16, 21, 22, 28, 24, 22, 19, 15, 18]"
15,2호선,봉천역,229,20221001,20221231,234,신도림역,211-R,성수역,230,신림역,0,0,MON,16,40,"[13, 17, 20, 22, 30, 21, 19, 17, 16, 15]"
15,2호선,봉천역,229,20221001,20221231,234,신도림역,211-R,성수역,230,신림역,0,0,MON,16,50,"[12, 16, 21, 22, 27, 22, 20, 20, 16, 14]"
3,2호선,봉천역,229,20221001,20221231,211,성수역,211,성수역,230,신림역,0,0,THU,09,00,"[81, 86, 113, 126, 132, 115, 124, 103, 99, 110]"
3,2호선,봉천역,229,20221001,20221231,211,성수역,211,성수역,230,신림역,0,0,THU,09,10,"[75, 90, 121, 119, 130, 98, 123, 102, 99, 83]"
3,2호선,봉천역,229,20221001,20221231,211,성수역,211,성수역,230,신림역,0,0,THU,09,20,"[84, 105, 119, 129, 135, 118, 142, 120, 126, 102]"
3,2호선,봉천역,229,20221001,20221231,211,성수역,211,성수역,230,신림역,0,0,THU,09,30,"[55, 60, 76, 82, 91, 74, 89, 78, 72, 64]"
3,2호선,봉천역,229,20221001,20221231,211,성수역,211,성수역,230,신림역,0,0,THU,09,40,"[38, 45, 57, 63, 78, 60, 66, 59, 56, 48]"
3,2호선,봉천역,229,20221001,20221231,211,성수역,211,성수역,230,신림역,0,0,THU,09,50,"[30, 37, 42, 48, 56, 41, 47, 49, 41, 38]"
4,2호선,봉천역,229,20221001,20221231,211,성수역,211,성수역,228,서울대입구역,1,0,THU,09,00,"[28, 31, 34, 41, 32, 35, 46, 33, 25, 16]"
4,2호선,봉천역,229,20221001,20221231,211,성수역,211,성수역,228,서울대입구역,1,0,THU,09,10,"[24, 23, 33, 35, 29, 34, 40, 32, 22, 18]"
4,2호선,봉천역,229,20221001,20221231,211,성수역,211,성수역,228,서울대입구역,1,0,THU,09,20,"[23, 25, 33, 33, 30, 29, 39, 36, 24, 19]"
4,2호선,봉천역,229,20221001,20221231,211,성수역,211,성수역,228,서울대입구역,1,0,THU,09,30,"[20, 24, 23, 26, 33, 30, 31, 28, 20, 13]"
4,2호선,봉천역,229,20221001,20221231,211,성수역,211,성수역,228,서울대입구역,1,0,THU,09,40,"[21, 20, 24, 30, 26, 31, 30, 26, 21, 12]"
4,2호선,봉천역,229,20221001,20221231,211,성수역,211,성수역,228,서울대입구역,1,0,THU,09,50,"[18, 19, 24, 29, 30, 33, 28, 26, 19, 14]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,THU,09,00,"[74, 79, 104, 116, 121, 105, 114, 95, 91, 101]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,THU,09,10,"[80, 96, 129, 127, 139, 104, 131, 109, 105, 89]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,THU,09,20,"[87, 109, 123, 133, 140, 122, 146, 124, 131, 105]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,THU,09,30,"[82, 89, 113, 122, 135, 110, 133, 116, 106, 95]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,THU,09,40,"[39, 46, 58, 64, 80, 61, 67, 60, 57, 49]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,THU,09,50,"[38, 47, 53, 61, 70, 52, 59, 61, 52, 48]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,THU,09,00,"[28, 31, 34, 41, 32, 35, 46, 33, 25, 16]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,THU,09,10,"[25, 24, 34, 36, 30, 35, 41, 33, 23, 18]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,THU,09,20,"[26, 28, 38, 38, 34, 33, 44, 40, 27, 21]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,THU,09,30,"[20, 24, 23, 26, 33, 30, 31, 28, 20, 13]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,THU,09,40,"[16, 15, 18, 22, 19, 23, 23, 19, 15, 9]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,THU,09,50,"[12, 14, 17, 21, 21, 23, 20, 19, 13, 10]"
9,2호선,봉천역,229,20221001,20221231,211,성수역,234,신도림역,228,서울대입구역,1,0,THU,09,30,"[6, 7, 7, 7, 9, 8, 9, 8, 6, 4]"
9,2호선,봉천역,229,20221001,20221231,211,성수역,234,신도림역,228,서울대입구역,1,0,THU,09,40,"[12, 12, 14, 17, 15, 18, 18, 15, 12, 7]"
