,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar
3,2호선,삼성역,219,20221002,20230101,211,성수역,211,성수역,220,선릉역,0,0,FRI,19,10,"[17, 15, 15, 17, 15, 16, 16, 16, 12, 11]"
3,2호선,삼성역,219,20221002,20230101,211,성수역,211,성수역,220,선릉역,0,0,FRI,19,20,"[32, 31, 28, 36, 31, 32, 35, 35, 29, 20]"
3,2호선,삼성역,219,20221002,20230101,211,성수역,211,성수역,220,선릉역,0,0,FRI,19,30,"[38, 33, 33, 36, 29, 31, 32, 33, 26, 20]"
3,2호선,삼성역,219,20221002,20230101,211,성수역,211,성수역,220,선릉역,0,0,FRI,19,40,"[39, 33, 35, 38, 40, 35, 32, 34, 31, 24]"
3,2호선,삼성역,219,20221002,20230101,211,성수역,211,성수역,220,선릉역,0,0,FRI,19,50,"[28, 19, 24, 22, 19, 25, 23, 24, 21, 15]"
4,2호선,삼성역,219,20221002,20230101,211,성수역,211,성수역,218,종합운동장역,1,0,FRI,19,00,"[35, 45, 38, 40, 43, 50, 57, 49, 42, 31]"
4,2호선,삼성역,219,20221002,20230101,211,성수역,211,성수역,218,종합운동장역,1,0,FRI,19,10,"[34, 42, 33, 40, 31, 43, 41, 40, 33, 23]"
4,2호선,삼성역,219,20221002,20230101,211,성수역,211,성수역,218,종합운동장역,1,0,FRI,19,20,"[24, 29, 26, 27, 25, 35, 29, 32, 25, 19]"
4,2호선,삼성역,219,20221002,20230101,211,성수역,211,성수역,218,종합운동장역,1,0,FRI,19,30,"[25, 30, 29, 28, 27, 35, 34, 31, 29, 22]"
4,2호선,삼성역,219,20221002,20230101,211,성수역,211,성수역,218,종합운동장역,1,0,FRI,19,40,"[22, 24, 27, 24, 26, 32, 32, 27, 26, 20]"
4,2호선,삼성역,219,20221002,20230101,211,성수역,211,성수역,218,종합운동장역,1,0,FRI,19,50,"[16, 20, 24, 22, 24, 26, 21, 24, 20, 13]"
5,2호선,삼성역,219,20221002,20230101,211,성수역,211-R,성수역,220,선릉역,0,0,FRI,19,00,"[78, 62, 71, 77, 67, 71, 80, 77, 62, 45]"
5,2호선,삼성역,219,20221002,20230101,211,성수역,211-R,성수역,220,선릉역,0,0,FRI,19,10,"[86, 80, 77, 88, 78, 84, 84, 83, 62, 57]"
5,2호선,삼성역,219,20221002,20230101,211,성수역,211-R,성수역,220,선릉역,0,0,FRI,19,20,"[70, 68, 61, 78, 66, 70, 75, 77, 63, 43]"
5,2호선,삼성역,219,20221002,20230101,211,성수역,211-R,성수역,220,선릉역,0,0,FRI,19,30,"[54, 46, 46, 51, 41, 43, 45, 47, 37, 29]"
5,2호선,삼성역,219,20221002,20230101,211,성수역,211-R,성수역,220,선릉역,0,0,FRI,19,40,"[40, 34, 36, 39, 41, 36, 33, 35, 31, 25]"
5,2호선,삼성역,219,20221002,20230101,211,성수역,211-R,성수역,220,선릉역,0,0,FRI,19,50,"[40, 28, 34, 33, 28, 36, 33, 35, 31, 22]"
6,2호선,삼성역,219,20221002,20230101,211,성수역,211-R,성수역,218,종합운동장역,1,0,FRI,19,00,"[31, 39, 34, 36, 38, 44, 51, 43, 37, 28]"
6,2호선,삼성역,219,20221002,20230101,211,성수역,211-R,성수역,218,종합운동장역,1,0,FRI,19,10,"[33, 41, 32, 39, 30, 42, 40, 39, 32, 23]"
6,2호선,삼성역,219,20221002,20230101,211,성수역,211-R,성수역,218,종합운동장역,1,0,FRI,19,20,"[26, 31, 28, 29, 27, 38, 31, 35, 27, 20]"
6,2호선,삼성역,219,20221002,20230101,211,성수역,211-R,성수역,218,종합운동장역,1,0,FRI,19,30,"[21, 26, 25, 24, 23, 31, 29, 27, 25, 19]"
6,2호선,삼성역,219,20221002,20230101,211,성수역,211-R,성수역,218,종합운동장역,1,0,FRI,19,40,"[22, 24, 27, 24, 26, 32, 32, 27, 26, 20]"
6,2호선,삼성역,219,20221002,20230101,211,성수역,211-R,성수역,218,종합운동장역,1,0,FRI,19,50,"[15, 19, 23, 21, 23, 25, 20, 23, 19, 12]"
10,2호선,삼성역,219,20221002,20230101,211,성수역,234,신도림역,218,종합운동장역,1,0,FRI,19,00,"[14, 18, 15, 16, 17, 20, 23, 19, 16, 12]"
10,2호선,삼성역,219,20221002,20230101,211,성수역,234,신도림역,218,종합운동장역,1,0,FRI,19,10,"[32, 39, 31, 38, 29, 40, 39, 38, 31, 22]"
10,2호선,삼성역,219,20221002,20230101,211,성수역,234,신도림역,218,종합운동장역,1,0,FRI,19,20,"[30, 36, 32, 34, 32, 44, 37, 40, 31, 24]"
10,2호선,삼성역,219,20221002,20230101,211,성수역,234,신도림역,218,종합운동장역,1,0,FRI,19,30,"[42, 52, 49, 49, 47, 61, 58, 53, 50, 38]"
10,2호선,삼성역,219,20221002,20230101,211,성수역,234,신도림역,218,종합운동장역,1,0,FRI,19,40,"[43, 46, 52, 45, 50, 61, 62, 52, 50, 38]"
10,2호선,삼성역,219,20221002,20230101,211,성수역,234,신도림역,218,종합운동장역,1,0,FRI,19,50,"[28, 34, 41, 38, 41, 45, 36, 41, 34, 22]"
5,2호선,삼성역,219,20221002,20230101,211,성수역,211-R,성수역,220,선릉역,0,0,WED,16,00,"[42, 41, 47, 51, 46, 41, 53, 44, 43, 32]"
5,2호선,삼성역,219,20221002,20230101,211,성수역,211-R,성수역,220,선릉역,0,0,WED,16,10,"[52, 54, 54, 64, 54, 56, 62, 52, 43, 29]"
