,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar
4,2호선,선릉역,220,20220930,20221229,211,성수역,211,성수역,219,삼성역,1,0,FRI,17,30,"[32, 33, 34, 35, 32, 37, 35, 37, 29, 24]"
4,2호선,선릉역,220,20220930,20221229,211,성수역,211,성수역,219,삼성역,1,0,FRI,17,40,"[64, 73, 73, 73, 62, 70, 75, 64, 57, 50]"
4,2호선,선릉역,220,20220930,20221229,211,성수역,211,성수역,219,삼성역,1,0,FRI,17,50,"[63, 76, 77, 67, 67, 75, 63, 64, 59, 48]"
5,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,221,역삼역,0,0,FRI,17,00,"[50, 52, 52, 63, 71, 59, 61, 56, 51, 37]"
5,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,221,역삼역,0,0,FRI,17,10,"[81, 77, 81, 91, 90, 92, 94, 84, 71, 50]"
5,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,221,역삼역,0,0,FRI,17,20,"[79, 63, 68, 92, 82, 81, 91, 84, 66, 55]"
5,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,221,역삼역,0,0,FRI,17,30,"[76, 68, 83, 93, 97, 93, 94, 82, 75, 58]"
5,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,221,역삼역,0,0,FRI,17,40,"[98, 99, 103, 120, 113, 112, 122, 105, 91, 68]"
5,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,221,역삼역,0,0,FRI,17,50,"[93, 86, 100, 102, 94, 99, 92, 107, 76, 60]"
6,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,219,삼성역,1,0,FRI,17,00,"[63, 75, 84, 77, 79, 89, 82, 74, 60, 57]"
6,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,219,삼성역,1,0,FRI,17,10,"[90, 90, 113, 99, 100, 109, 106, 95, 82, 76]"
6,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,219,삼성역,1,0,FRI,17,20,"[102, 96, 96, 103, 101, 110, 105, 97, 78, 73]"
