,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar
4,2호선,성수역,211,20220927,20221226,211,성수역,211,성수역,212,건대입구역,0,0,THU,18,00,"[41, 47, 46, 42, 39, 47, 53, 44, 39, 31]"
4,2호선,성수역,211,20220927,20221226,211,성수역,211,성수역,212,건대입구역,0,0,THU,18,10,"[82, 97, 98, 82, 85, 95, 98, 90, 71, 61]"
4,2호선,성수역,211,20220927,20221226,211,성수역,211,성수역,212,건대입구역,0,0,THU,18,20,"[76, 95, 84, 84, 79, 103, 111, 89, 66, 73]"
4,2호선,성수역,211,20220927,20221226,211,성수역,211,성수역,212,건대입구역,0,0,THU,18,30,"[78, 80, 89, 86, 76, 103, 96, 82, 71, 69]"
4,2호선,성수역,211,20220927,20221226,211,성수역,211,성수역,212,건대입구역,0,0,THU,18,40,"[60, 77, 63, 72, 60, 75, 77, 73, 65, 67]"
4,2호선,성수역,211,20220927,20221226,211,성수역,211,성수역,212,건대입구역,0,0,THU,18,50,"[48, 66, 60, 60, 50, 68, 65, 56, 50, 57]"
5,2호선,성수역,211,20220927,20221226,211,성수역,211,성수역,210,뚝섬역,1,0,THU,18,00,"[96, 94, 138, 114, 118, 102, 121, 107, 90, 100]"
5,2호선,성수역,211,20220927,20221226,211,성수역,211,성수역,210,뚝섬역,1,0,THU,18,10,"[102, 103, 131, 126, 100, 105, 121, 106, 88, 98]"
5,2호선,성수역,211,20220927,20221226,211,성수역,211,성수역,210,뚝섬역,1,0,THU,18,20,"[91, 83, 119, 118, 87, 79, 98, 107, 86, 102]"
5,2호선,성수역,211,20220927,20221226,211,성수역,211,성수역,210,뚝섬역,1,0,THU,18,30,"[106, 84, 108, 113, 94, 93, 106, 96, 79, 91]"
5,2호선,성수역,211,20220927,20221226,211,성수역,211,성수역,210,뚝섬역,1,0,THU,18,40,"[75, 72, 94, 90, 73, 74, 84, 81, 62, 75]"
5,2호선,성수역,211,20220927,20221226,211,성수역,211,성수역,210,뚝섬역,1,0,THU,18,50,"[38, 37, 53, 47, 43, 40, 54, 53, 33, 42]"
6,2호선,성수역,211,20220927,20221226,211,성수역,211-R,성수역,212,건대입구역,0,0,THU,18,00,"[59, 68, 67, 61, 56, 67, 76, 64, 57, 45]"
6,2호선,성수역,211,20220927,20221226,211,성수역,211-R,성수역,212,건대입구역,0,0,THU,18,10,"[65, 77, 78, 65, 67, 75, 78, 71, 56, 48]"
6,2호선,성수역,211,20220927,20221226,211,성수역,211-R,성수역,212,건대입구역,0,0,THU,18,20,"[80, 100, 89, 89, 84, 109, 117, 94, 70, 77]"
6,2호선,성수역,211,20220927,20221226,211,성수역,211-R,성수역,212,건대입구역,0,0,THU,18,30,"[85, 87, 96, 93, 82, 112, 105, 89, 76, 75]"
6,2호선,성수역,211,20220927,20221226,211,성수역,211-R,성수역,212,건대입구역,0,0,THU,18,40,"[60, 77, 63, 72, 60, 75, 77, 73, 65, 67]"
