,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar
3,2호선,시청역,201,20220929,20221228,211,성수역,211,성수역,202,을지로입구역,0,0,TUE,08,00,"[44, 55, 63, 72, 56, 59, 63, 54, 47, 46]"
3,2호선,시청역,201,20220929,20221228,211,성수역,211,성수역,202,을지로입구역,0,0,TUE,08,10,"[54, 55, 72, 75, 63, 66, 70, 59, 49, 58]"
3,2호선,시청역,201,20220929,20221228,211,성수역,211,성수역,202,을지로입구역,0,0,TUE,08,20,"[53, 59, 64, 74, 63, 72, 77, 58, 53, 47]"
3,2호선,시청역,201,20220929,20221228,211,성수역,211,성수역,202,을지로입구역,0,0,TUE,08,30,"[58, 64, 67, 86, 70, 83, 83, 60, 67, 52]"
3,2호선,시청역,201,20220929,20221228,211,성수역,211,성수역,202,을지로입구역,0,0,TUE,08,40,"[68, 59, 63, 67, 63, 62, 75, 65, 68, 50]"
3,2호선,시청역,201,20220929,20221228,211,성수역,211,성수역,202,을지로입구역,0,0,TUE,08,50,"[73, 63, 74, 71, 62, 62, 63, 62, 59, 50]"
4,2호선,시청역,201,20220929,20221228,211,성수역,211,성수역,243,충정로역,1,0,TUE,08,50,"[31, 26, 25, 25, 24, 27, 24, 23, 25, 28]"
5,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,202,을지로입구역,0,0,TUE,08,00,"[37, 46, 53, 61, 47, 50, 53, 46, 40, 38]"
5,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,202,을지로입구역,0,0,TUE,08,10,"[54, 54, 70, 74, 62, 65, 69, 58, 48, 58]"
5,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,202,을지로입구역,0,0,TUE,08,20,"[51, 57, 62, 72, 61, 70, 75, 56, 52, 46]"
5,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,202,을지로입구역,0,0,TUE,08,30,"[52, 58, 60, 77, 63, 74, 75, 54, 60, 47]"
5,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,202,을지로입구역,0,0,TUE,08,40,"[73, 64, 68, 72, 68, 67, 80, 70, 74, 53]"
5,2호선,시청역,201,20220929,20221228,211,성수역,211-R,성수역,202,을지로입구역,0,0,TUE,08,50,"[48, 41, 49, 47, 41, 41, 41, 41, 39, 33]"
