,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar
3,2호선,신림역,230,20221001,20221231,211,성수역,211,성수역,231,신대방역,0,0,SUN,19,00,"[9, 12, 17, 17, 23, 14, 15, 15, 16, 12]"
3,2호선,신림역,230,20221001,20221231,211,성수역,211,성수역,231,신대방역,0,0,SUN,19,10,"[16, 22, 43, 29, 42, 37, 40, 36, 35, 21]"
3,2호선,신림역,230,20221001,20221231,211,성수역,211,성수역,231,신대방역,0,0,SUN,19,20,"[18, 28, 35, 43, 47, 32, 32, 29, 33, 23]"
3,2호선,신림역,230,20221001,20221231,211,성수역,211,성수역,231,신대방역,0,0,SUN,19,30,"[18, 22, 33, 36, 39, 31, 38, 29, 37, 26]"
3,2호선,신림역,230,20221001,20221231,211,성수역,211,성수역,231,신대방역,0,0,SUN,19,40,"[19, 25, 35, 35, 43, 34, 31, 35, 28, 26]"
3,2호선,신림역,230,20221001,20221231,211,성수역,211,성수역,231,신대방역,0,0,SUN,19,50,"[9, 9, 16, 18, 22, 18, 13, 17, 15, 14]"
5,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,231,신대방역,0,0,SUN,19,00,"[16, 22, 31, 31, 41, 26, 27, 28, 28, 21]"
5,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,231,신대방역,0,0,SUN,19,10,"[12, 16, 32, 22, 32, 28, 30, 27, 26, 15]"
5,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,231,신대방역,0,0,SUN,19,20,"[17, 26, 33, 41, 45, 30, 30, 27, 31, 21]"
5,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,231,신대방역,0,0,SUN,19,30,"[14, 17, 26, 28, 30, 24, 30, 23, 29, 20]"
5,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,231,신대방역,0,0,SUN,19,40,"[15, 20, 28, 28, 35, 27, 25, 28, 23, 21]"
5,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,231,신대방역,0,0,SUN,19,50,"[14, 15, 26, 30, 37, 30, 21, 28, 25, 23]"
6,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,229,봉천역,1,0,SUN,19,00,"[27, 38, 37, 38, 36, 39, 38, 35, 24, 19]"
6,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,229,봉천역,1,0,SUN,19,10,"[24, 38, 33, 47, 42, 41, 38, 26, 28, 23]"
6,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,229,봉천역,1,0,SUN,19,20,"[30, 33, 33, 40, 39, 34, 43, 34, 35, 17]"
6,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,229,봉천역,1,0,SUN,19,30,"[34, 34, 44, 44, 36, 48, 53, 32, 30, 17]"
6,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,229,봉천역,1,0,SUN,19,40,"[23, 39, 38, 48, 30, 40, 39, 31, 24, 18]"
6,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,229,봉천역,1,0,SUN,19,50,"[26, 28, 34, 51, 40, 39, 38, 33, 31, 22]"
15,2호선,신림역,230,20221001,20221231,234,신도림역,211-R,성수역,231,신대방역,0,0,SUN,19,00,"[3, 4, 6, 6, 8, 5, 5, 5, 5, 4]"
15,2호선,신림역,230,20221001,20221231,234,신도림역,211-R,성수역,231,신대방역,0,0,SUN,19,10,"[5, 7, 13, 9, 13, 12, 12, 11, 11, 6]"
15,2호선,신림역,230,20221001,20221231,234,신도림역,211-R,성수역,231,신대방역,0,0,SUN,19,20,"[6, 9, 11, 14, 15, 10, 10, 9, 10, 7]"
15,2호선,신림역,230,20221001,20221231,234,신도림역,211-R,성수역,231,신대방역,0,0,SUN,19,30,"[3, 4, 5, 6, 6, 5, 6, 5, 6, 4]"
3,2호선,신림역,230,20221001,20221231,211,성수역,211,성수역,231,신대방역,0,0,THU,08,10,"[48, 58, 62, 59, 64, 56, 61, 65, 62, 56]"
3,2호선,신림역,230,20221001,20221231,211,성수역,211,성수역,231,신대방역,0,0,THU,08,20,"[92, 125, 114, 129, 134, 102, 133, 124, 134, 104]"
3,2호선,신림역,230,20221001,20221231,211,성수역,211,성수역,231,신대방역,0,0,THU,08,30,"[65, 95, 95, 112, 106, 87, 108, 97, 105, 100]"
3,2호선,신림역,230,20221001,20221231,211,성수역,211,성수역,231,신대방역,0,0,THU,08,40,"[51, 74, 82, 100, 80, 67, 82, 77, 72, 75]"
3,2호선,신림역,230,20221001,20221231,211,성수역,211,성수역,231,신대방역,0,0,THU,08,50,"[57, 65, 74, 87, 78, 72, 82, 70, 69, 66]"
4,2호선,신림역,230,20221001,20221231,211,성수역,211,성수역,229,봉천역,1,0,THU,08,20,"[13, 18, 18, 22, 19, 20, 22, 19, 15, 14]"
