,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar
3,2호선,잠실역,216,20220927,20221226,211,성수역,211,성수역,217,잠실새내역,0,0,SAT,18,00,"[20, 18, 22, 24, 24, 24, 28, 21, 17, 13]"
3,2호선,잠실역,216,20220927,20221226,211,성수역,211,성수역,217,잠실새내역,0,0,SAT,18,10,"[25, 32, 33, 38, 41, 38, 47, 42, 34, 20]"
3,2호선,잠실역,216,20220927,20221226,211,성수역,211,성수역,217,잠실새내역,0,0,SAT,18,20,"[42, 31, 39, 35, 42, 32, 38, 35, 36, 20]"
3,2호선,잠실역,216,20220927,20221226,211,성수역,211,성수역,217,잠실새내역,0,0,SAT,18,30,"[16, 17, 22, 20, 18, 18, 16, 18, 16, 9]"
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,SAT,18,00,"[47, 43, 51, 55, 55, 56, 65, 48, 40, 30]"
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,SAT,18,10,"[34, 43, 44, 51, 55, 51, 63, 56, 45, 27]"
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,SAT,18,20,"[63, 46, 59, 54, 63, 49, 58, 54, 54, 30]"
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,SAT,18,30,"[45, 46, 62, 55, 51, 49, 45, 49, 44, 26]"
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,SAT,18,40,"[39, 40, 48, 44, 49, 51, 52, 42, 43, 32]"
5,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,217,잠실새내역,0,0,SAT,18,50,"[39, 51, 42, 46, 67, 56, 43, 48, 43, 35]"
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,SAT,18,00,"[36, 47, 48, 46, 44, 51, 42, 36, 34, 37]"
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,SAT,18,10,"[32, 33, 41, 49, 39, 54, 38, 36, 30, 39]"
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,SAT,18,20,"[38, 42, 60, 45, 46, 51, 48, 43, 38, 39]"
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,SAT,18,30,"[35, 50, 49, 43, 44, 40, 39, 38, 22, 30]"
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,SAT,18,40,"[28, 23, 21, 32, 33, 35, 27, 30, 20, 22]"
6,2호선,잠실역,216,20220927,20221226,211,성수역,211-R,성수역,215,잠실나루역,1,0,SAT,18,50,"[17, 29, 24, 30, 30, 25, 26, 27, 23, 19]"
9,2호선,잠실역,216,20220927,20221226,211,성수역,234,신도림역,215,잠실나루역,1,0,SAT,18,00,"[35, 46, 47, 45, 43, 50, 41, 35, 33, 36]"
9,2호선,잠실역,216,20220927,20221226,211,성수역,234,신도림역,215,잠실나루역,1,0,SAT,18,10,"[16, 17, 21, 25, 20, 28, 20, 18, 16, 20]"
1,2호선,잠실역,216,20220927,20221226,202,을지로입구역,211-R,성수역,217,잠실새내역,0,0,TUE,06,10,"[8, 8, 9, 8, 8, 6, 8, 4, 6, 5]"
