,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar
2,6호선,공덕역,626,20220929,20221228,610,응암역,647,봉화산역,625,대흥역,1,0,THU,19,00,"[26, 27, 33, 24, 35, 23, 27, 22]"
2,6호선,공덕역,626,20220929,20221228,610,응암역,647,봉화산역,625,대흥역,1,0,THU,19,10,"[19, 24, 31, 27, 23, 21, 18, 20]"
2,6호선,공덕역,626,20220929,20221228,610,응암역,647,봉화산역,625,대흥역,1,0,THU,19,20,"[17, 19, 25, 23, 20, 21, 18, 18]"
2,6호선,공덕역,626,20220929,20221228,610,응암역,647,봉화산역,625,대흥역,1,0,THU,19,30,"[16, 22, 31, 18, 19, 20, 17, 17]"
2,6호선,공덕역,626,20220929,20221228,610,응암역,647,봉화산역,625,대흥역,1,0,THU,19,40,"[13, 16, 17, 12, 13, 18, 15, 16]"
2,6호선,공덕역,626,20220929,20221228,610,응암역,647,봉화산역,625,대흥역,1,0,THU,19,50,"[11, 17, 21, 12, 15, 16, 11, 10]"
3,6호선,공덕역,626,20220929,20221228,610,응암역,648,신내역,625,대흥역,1,0,THU,19,00,"[30, 31, 38, 27, 40, 26, 31, 25]"
3,6호선,공덕역,626,20220929,20221228,610,응암역,648,신내역,625,대흥역,1,0,THU,19,10,"[22, 27, 35, 31, 26, 24, 21, 23]"
3,6호선,공덕역,626,20220929,20221228,610,응암역,648,신내역,625,대흥역,1,0,THU,19,20,"[17, 19, 25, 23, 20, 21, 18, 18]"
3,6호선,공덕역,626,20220929,20221228,610,응암역,648,신내역,625,대흥역,1,0,THU,19,30,"[13, 18, 25, 14, 15, 16, 14, 13]"
3,6호선,공덕역,626,20220929,20221228,610,응암역,648,신내역,625,대흥역,1,0,THU,19,40,"[13, 16, 17, 12, 13, 18, 15, 16]"
3,6호선,공덕역,626,20220929,20221228,610,응암역,648,신내역,625,대흥역,1,0,THU,19,50,"[11, 18, 23, 13, 16, 18, 12, 10]"
