,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar
3,6호선,대흥역,625,20220930,20221230,610,응암역,647,봉화산역,624,광흥창역,1,0,FRI,16,00,"[15, 21, 24, 18, 22, 30, 14, 16]"
3,6호선,대흥역,625,20220930,20221230,610,응암역,647,봉화산역,624,광흥창역,1,0,FRI,16,10,"[15, 20, 30, 21, 24, 18, 19, 23]"
3,6호선,대흥역,625,20220930,20221230,610,응암역,647,봉화산역,624,광흥창역,1,0,FRI,16,20,"[20, 24, 26, 21, 22, 24, 23, 23]"
3,6호선,대흥역,625,20220930,20221230,610,응암역,647,봉화산역,624,광흥창역,1,0,FRI,16,30,"[21, 26, 30, 27, 29, 25, 25, 25]"
3,6호선,대흥역,625,20220930,20221230,610,응암역,647,봉화산역,624,광흥창역,1,0,FRI,16,40,"[18, 23, 26, 23, 28, 29, 32, 30]"
3,6호선,대흥역,625,20220930,20221230,610,응암역,647,봉화산역,624,광흥창역,1,0,FRI,16,50,"[18, 21, 23, 23, 25, 26, 26, 22]"
4,6호선,대흥역,625,20220930,20221230,610,응암역,648,신내역,624,광흥창역,1,0,FRI,16,00,"[15, 21, 24, 18, 22, 30, 14, 16]"
4,6호선,대흥역,625,20220930,20221230,610,응암역,648,신내역,624,광흥창역,1,0,FRI,16,10,"[16, 22, 32, 23, 26, 19, 21, 25]"
4,6호선,대흥역,625,20220930,20221230,610,응암역,648,신내역,624,광흥창역,1,0,FRI,16,20,"[20, 24, 26, 21, 22, 24, 23, 23]"
4,6호선,대흥역,625,20220930,20221230,610,응암역,648,신내역,624,광흥창역,1,0,FRI,16,30,"[19, 24, 27, 25, 26, 23, 23, 23]"
4,6호선,대흥역,625,20220930,20221230,610,응암역,648,신내역,624,광흥창역,1,0,FRI,16,40,"[17, 23, 25, 22, 26, 28, 31, 29]"
