,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar
3,6호선,디지털미디어시티역,618,20220929,20221228,610,응암역,647,봉화산역,617,증산역,1,0,FRI,06,00,"[19, 19, 21, 23, 26, 35, 22, 20]"
3,6호선,디지털미디어시티역,618,20220929,20221228,610,응암역,647,봉화산역,617,증산역,1,0,FRI,06,10,"[16, 19, 25, 30, 26, 35, 21, 19]"
3,6호선,디지털미디어시티역,618,20220929,20221228,610,응암역,647,봉화산역,617,증산역,1,0,FRI,06,20,"[20, 12, 29, 21, 28, 37, 20, 24]"
3,6호선,디지털미디어시티역,618,20220929,20221228,610,응암역,647,봉화산역,617,증산역,1,0,FRI,06,30,"[25, 25, 25, 35, 18, 36, 24, 20]"
3,6호선,디지털미디어시티역,618,20220929,20221228,610,응암역,647,봉화산역,617,증산역,1,0,FRI,06,40,"[22, 25, 32, 36, 30, 38, 29, 28]"
3,6호선,디지털미디어시티역,618,20220929,20221228,610,응암역,647,봉화산역,617,증산역,1,0,FRI,06,50,"[26, 27, 34, 39, 30, 46, 33, 35]"
4,6호선,디지털미디어시티역,618,20220929,20221228,610,응암역,648,신내역,617,증산역,1,0,FRI,06,00,"[19, 19, 21, 23, 26, 35, 22, 20]"
4,6호선,디지털미디어시티역,618,20220929,20221228,610,응암역,648,신내역,617,증산역,1,0,FRI,06,10,"[13, 16, 21, 25, 22, 29, 18, 16]"
4,6호선,디지털미디어시티역,618,20220929,20221228,610,응암역,648,신내역,617,증산역,1,0,FRI,06,20,"[18, 10, 26, 18, 25, 33, 18, 21]"
4,6호선,디지털미디어시티역,618,20220929,20221228,610,응암역,648,신내역,617,증산역,1,0,FRI,06,30,"[22, 23, 22, 31, 16, 32, 21, 18]"
4,6호선,디지털미디어시티역,618,20220929,20221228,610,응암역,648,신내역,617,증산역,1,0,FRI,06,40,"[22, 25, 32, 36, 30, 38, 29, 28]"
4,6호선,디지털미디어시티역,618,20220929,20221228,610,응암역,648,신내역,617,증산역,1,0,FRI,06,50,"[33, 35, 44, 49, 38, 58, 42, 45]"
5,6호선,디지털미디어시티역,618,20220929,20221228,613,독바위역,647,봉화산역,617,증산역,1,0,FRI,06,00,"[8, 8, 9, 10, 11, 15, 9, 8]"
8,6호선,디지털미디어시티역,618,20220929,20221228,625,대흥역,610,응암역,619,월드컵경기장역,0,0,FRI,06,00,"[2, 4, 3, 4, 3, 3, 2, 4]"
11,6호선,디지털미디어시티역,618,20220929,20221228,639,안암역,610,응암역,619,월드컵경기장역,0,0,FRI,06,00,"[7, 14, 12, 13, 9, 11, 8, 13]"
11,6호선,디지털미디어시티역,618,20220929,20221228,639,안암역,610,응암역,619,월드컵경기장역,0,0,FRI,06,10,"[5, 9, 16, 11, 15, 14, 9, 9]"
11,6호선,디지털미디어시티역,618,20220929,20221228,639,안암역,610,응암역,619,월드컵경기장역,0,0,FRI,06,20,"[5, 5, 6, 7, 5, 4, 3, 5]"
12,6호선,디지털미디어시티역,618,20220929,20221228,642,상월곡역,610,응암역,619,월드컵경기장역,0,0,FRI,06,00,"[3, 7, 6, 6, 4, 5, 4, 6]"
12,6호선,디지털미디어시티역,618,20220929,20221228,642,상월곡역,610,응암역,619,월드컵경기장역,0,0,FRI,06,10,"[2, 4, 7, 5, 7, 6, 4, 4]"
12,6호선,디지털미디어시티역,618,20220929,20221228,642,상월곡역,610,응암역,619,월드컵경기장역,0,0,FRI,06,20,"[5, 5, 6, 7, 5, 4, 3, 5]"
13,6호선,디지털미디어시티역,618,20220929,20221228,647,봉화산역,610,응암역,619,월드컵경기장역,0,0,FRI,06,00,"[2, 5, 4, 5, 3, 4, 3, 5]"
13,6호선,디지털미디어시티역,618,20220929,20221228,647,봉화산역,610,응암역,619,월드컵경기장역,0,0,FRI,06,10,"[4, 7, 13, 9, 12, 11, 7, 7]"
13,6호선,디지털미디어시티역,618,20220929,20221228,647,봉화산역,610,응암역,619,월드컵경기장역,0,0,FRI,06,20,"[9, 10, 11, 12, 9, 8, 5, 9]"
13,6호선,디지털미디어시티역,618,20220929,20221228,647,봉화산역,610,응암역,619,월드컵경기장역,0,0,FRI,06,30,"[3, 8, 9, 6, 5, 7, 4, 6]"
13,6호선,디지털미디어시티역,618,20220929,20221228,647,봉화산역,610,응암역,619,월드컵경기장역,0,0,FRI,06,40,"[6, 10, 10, 6, 5, 10, 8, 8]"
13,6호선,디지털미디어시티역,618,20220929,20221228,647,봉화산역,610,응암역,619,월드컵경기장역,0,0,FRI,06,50,"[5, 10, 7, 7, 8, 11, 8, 8]"
15,6호선,디지털미디어시티역,618,20220929,20221228,648,신내역,610,응암역,619,월드컵경기장역,0,0,FRI,06,20,"[7, 8, 8, 9, 7, 6, 4, 7]"
15,6호선,디지털미디어시티역,618,20220929,20221228,648,신내역,610,응암역,619,월드컵경기장역,0,0,FRI,06,30,"[4, 9, 11, 7, 6, 8, 5, 7]"
15,6호선,디지털미디어시티역,618,20220929,20221228,648,신내역,610,응암역,619,월드컵경기장역,0,0,FRI,06,40,"[8, 13, 13, 7, 7, 13, 10, 10]"
15,6호선,디지털미디어시티역,618,20220929,20221228,648,신내역,610,응암역,619,월드컵경기장역,0,0,FRI,06,50,"[6, 13, 8, 9, 10, 13, 10, 10]"
