,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar
0,6호선,태릉입구역,645,20220930,20221229,610,응암역,647,봉화산역,644,석계역,1,0,SUN,18,00,"[31, 27, 25, 20, 19, 14, 14, 17]"
0,6호선,태릉입구역,645,20220930,20221229,610,응암역,647,봉화산역,644,석계역,1,0,SUN,18,10,"[38, 25, 16, 22, 12, 16, 10, 19]"
0,6호선,태릉입구역,645,20220930,20221229,610,응암역,647,봉화산역,644,석계역,1,0,SUN,18,20,"[39, 23, 27, 19, 14, 12, 7, 9]"
0,6호선,태릉입구역,645,20220930,20221229,610,응암역,647,봉화산역,644,석계역,1,0,SUN,18,30,"[37, 23, 22, 16, 11, 12, 7, 16]"
0,6호선,태릉입구역,645,20220930,20221229,610,응암역,647,봉화산역,644,석계역,1,0,SUN,18,40,"[31, 16, 23, 16, 19, 13, 12, 14]"
0,6호선,태릉입구역,645,20220930,20221229,610,응암역,647,봉화산역,644,석계역,1,0,SUN,18,50,"[27, 25, 21, 14, 16, 13, 18, 11]"
1,6호선,태릉입구역,645,20220930,20221229,610,응암역,648,신내역,644,석계역,1,0,SUN,18,00,"[30, 26, 24, 19, 18, 14, 14, 16]"
1,6호선,태릉입구역,645,20220930,20221229,610,응암역,648,신내역,644,석계역,1,0,SUN,18,10,"[38, 25, 16, 22, 12, 16, 10, 19]"
1,6호선,태릉입구역,645,20220930,20221229,610,응암역,648,신내역,644,석계역,1,0,SUN,18,20,"[41, 25, 29, 20, 15, 13, 8, 9]"
1,6호선,태릉입구역,645,20220930,20221229,610,응암역,648,신내역,644,석계역,1,0,SUN,18,30,"[41, 26, 25, 18, 12, 14, 8, 17]"
1,6호선,태릉입구역,645,20220930,20221229,610,응암역,648,신내역,644,석계역,1,0,SUN,18,40,"[34, 18, 25, 18, 21, 14, 14, 15]"
1,6호선,태릉입구역,645,20220930,20221229,610,응암역,648,신내역,644,석계역,1,0,SUN,18,50,"[30, 28, 23, 16, 17, 15, 20, 12]"
7,6호선,태릉입구역,645,20220930,20221229,647,봉화산역,610,응암역,646,화랑대역,0,0,SUN,18,00,"[7, 7, 7, 8, 4, 9, 7, 7]"
7,6호선,태릉입구역,645,20220930,20221229,647,봉화산역,610,응암역,646,화랑대역,0,0,SUN,18,10,"[6, 5, 6, 6, 8, 11, 10, 11]"
7,6호선,태릉입구역,645,20220930,20221229,647,봉화산역,610,응암역,646,화랑대역,0,0,SUN,18,20,"[4, 4, 4, 10, 2, 21, 19, 8]"
7,6호선,태릉입구역,645,20220930,20221229,647,봉화산역,610,응암역,646,화랑대역,0,0,SUN,18,30,"[7, 4, 6, 5, 7, 10, 8, 9]"
7,6호선,태릉입구역,645,20220930,20221229,647,봉화산역,610,응암역,646,화랑대역,0,0,SUN,18,40,"[3, 1, 4, 6, 8, 14, 8, 11]"
7,6호선,태릉입구역,645,20220930,20221229,647,봉화산역,610,응암역,646,화랑대역,0,0,SUN,18,50,"[1, 8, 5, 8, 7, 11, 4, 13]"
10,6호선,태릉입구역,645,20220930,20221229,648,신내역,610,응암역,646,화랑대역,0,0,SUN,18,00,"[11, 9, 9, 12, 5, 13, 11, 9]"
10,6호선,태릉입구역,645,20220930,20221229,648,신내역,610,응암역,646,화랑대역,0,0,SUN,18,10,"[8, 7, 8, 7, 10, 14, 13, 14]"
10,6호선,태릉입구역,645,20220930,20221229,648,신내역,610,응암역,646,화랑대역,0,0,SUN,18,20,"[4, 4, 4, 10, 2, 21, 19, 8]"
10,6호선,태릉입구역,645,20220930,20221229,648,신내역,610,응암역,646,화랑대역,0,0,SUN,18,30,"[9, 5, 8, 7, 9, 13, 10, 12]"
10,6호선,태릉입구역,645,20220930,20221229,648,신내역,610,응암역,646,화랑대역,0,0,SUN,18,40,"[4, 2, 6, 8, 12, 20, 12, 16]"
