,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,getOffCarRate
0,1호선,서울역,133,20220926,20221225,100,소요산역,141,구로역,132,시청역,1,0,MON,08,00,"[16, 16, 10, 12, 5, 4, 5, 11, 7, 14]"
0,1호선,서울역,133,20220926,20221225,100,소요산역,141,구로역,132,시청역,1,0,MON,08,10,"[14, 16, 10, 12, 5, 4, 6, 11, 7, 15]"
0,1호선,서울역,133,20220926,20221225,100,소요산역,141,구로역,132,시청역,1,0,MON,08,20,"[14, 15, 11, 12, 4, 4, 6, 11, 7, 15]"
0,1호선,서울역,133,20220926,20221225,100,소요산역,141,구로역,132,시청역,1,0,MON,08,30,"[15, 13, 10, 12, 5, 4, 6, 12, 8, 15]"
0,1호선,서울역,133,20220926,20221225,100,소요산역,141,구로역,132,시청역,1,0,MON,08,40,"[12, 13, 10, 13, 5, 4, 7, 12, 7, 18]"
0,1호선,서울역,133,20220926,20221225,100,소요산역,141,구로역,132,시청역,1,0,MON,08,50,"[9, 13, 9, 13, 5, 4, 7, 11, 8, 20]"
1,1호선,서울역,133,20220926,20221225,100,소요산역,161,인천역,132,시청역,1,0,MON,08,00,"[15, 16, 11, 11, 5, 5, 6, 10, 7, 15]"
1,1호선,서울역,133,20220926,20221225,100,소요산역,161,인천역,132,시청역,1,0,MON,08,10,"[14, 15, 11, 12, 5, 4, 6, 10, 7, 15]"
1,1호선,서울역,133,20220926,20221225,100,소요산역,161,인천역,132,시청역,1,0,MON,08,20,"[13, 14, 10, 13, 5, 4, 7, 10, 8, 15]"
1,1호선,서울역,133,20220926,20221225,100,소요산역,161,인천역,132,시청역,1,0,MON,08,30,"[13, 12, 10, 14, 5, 4, 7, 11, 8, 15]"
1,1호선,서울역,133,20220926,20221225,100,소요산역,161,인천역,132,시청역,1,0,MON,08,40,"[12, 12, 10, 14, 6, 4, 8, 11, 8, 15]"
1,1호선,서울역,133,20220926,20221225,100,소요산역,161,인천역,132,시청역,1,0,MON,08,50,"[11, 12, 10, 15, 6, 3, 7, 11, 8, 17]"
2,1호선,서울역,133,20220926,20221225,101,동두천역,141,구로역,132,시청역,1,0,MON,08,00,"[16, 16, 10, 12, 5, 4, 5, 11, 7, 14]"
2,1호선,서울역,133,20220926,20221225,101,동두천역,141,구로역,132,시청역,1,0,MON,08,10,"[15, 15, 11, 12, 5, 4, 6, 11, 7, 15]"
