,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,getOffCarRate
0,2호선,강남역,222,20220927,20221226,202,을지로입구역,211,성수역,223,교대역,0,0,SUN,07,00,"[5, 7, 6, 16, 19, 14, 14, 8, 9, 3]"
0,2호선,강남역,222,20220927,20221226,202,을지로입구역,211,성수역,223,교대역,0,0,SUN,07,10,"[6, 8, 7, 17, 17, 13, 13, 8, 9, 3]"
0,2호선,강남역,222,20220927,20221226,202,을지로입구역,211,성수역,223,교대역,0,0,SUN,07,20,"[6, 8, 7, 17, 19, 13, 13, 8, 7, 4]"
0,2호선,강남역,222,20220927,20221226,202,을지로입구역,211,성수역,223,교대역,0,0,SUN,07,30,"[5, 8, 6, 16, 18, 15, 14, 8, 7, 3]"
0,2호선,강남역,222,20220927,20221226,202,을지로입구역,211,성수역,223,교대역,0,0,SUN,07,40,"[4, 7, 6, 15, 19, 14, 16, 7, 7, 3]"
0,2호선,강남역,222,20220927,20221226,202,을지로입구역,211,성수역,223,교대역,0,0,SUN,07,50,"[4, 7, 7, 14, 18, 14, 17, 7, 8, 4]"
1,2호선,강남역,222,20220927,20221226,202,을지로입구역,211-R,성수역,223,교대역,0,0,SUN,07,00,"[5, 7, 6, 16, 19, 14, 14, 8, 9, 3]"
1,2호선,강남역,222,20220927,20221226,202,을지로입구역,211-R,성수역,223,교대역,0,0,SUN,07,10,"[6, 8, 7, 17, 17, 13, 13, 8, 9, 3]"
1,2호선,강남역,222,20220927,20221226,202,을지로입구역,211-R,성수역,223,교대역,0,0,SUN,07,20,"[6, 8, 7, 17, 19, 13, 13, 8, 7, 4]"
1,2호선,강남역,222,20220927,20221226,202,을지로입구역,211-R,성수역,223,교대역,0,0,SUN,07,30,"[5, 8, 6, 16, 18, 15, 14, 8, 7, 3]"
1,2호선,강남역,222,20220927,20221226,202,을지로입구역,211-R,성수역,223,교대역,0,0,SUN,07,40,"[4, 7, 6, 15, 19, 14, 16, 7, 7, 3]"
1,2호선,강남역,222,20220927,20221226,202,을지로입구역,211-R,성수역,223,교대역,0,0,SUN,07,50,"[4, 7, 7, 14, 18, 14, 17, 7, 8, 4]"
2,2호선,강남역,222,20220927,20221226,211,성수역,202,을지로입구역,221,역삼역,1,0,SUN,07,00,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
2,2호선,강남역,222,20220927,20221226,211,성수역,202,을지로입구역,221,역삼역,1,0,SUN,07,10,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
2,2호선,강남역,222,20220927,20221226,211,성수역,202,을지로입구역,221,역삼역,1,0,SUN,07,20,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
2,2호선,강남역,222,20220927,20221226,211,성수역,202,을지로입구역,221,역삼역,1,0,SUN,07,30,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
2,2호선,강남역,222,20220927,20221226,211,성수역,202,을지로입구역,221,역삼역,1,0,SUN,07,40,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
2,2호선,강남역,222,20220927,20221226,211,성수역,202,을지로입구역,221,역삼역,1,0,SUN,07,50,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
3,2호선,강남역,222,20220927,20221226,211,성수역,211,성수역,223,교대역,0,0,SUN,07,00,"[5, 7, 6, 16, 19, 14, 14, 8, 9, 3]"
3,2호선,강남역,222,20220927,20221226,211,성수역,211,성수역,223,교대역,0,0,SUN,07,10,"[6, 8, 7, 17, 17, 13, 13, 8, 9, 3]"
3,2호선,강남역,222,20220927,20221226,211,성수역,211,성수역,223,교대역,0,0,SUN,07,20,"[6, 8, 7, 17, 19, 13, 13, 8, 7, 4]"
3,2호선,강남역,222,20220927,20221226,211,성수역,211,성수역,223,교대역,0,0,SUN,07,30,"[5, 8, 6, 16, 18, 15, 14, 8, 7, 3]"
3,2호선,강남역,222,20220927,20221226,211,성수역,211,성수역,223,교대역,0,0,SUN,07,40,"[4, 7, 6, 15, 19, 14, 16, 7, 7, 3]"
3,2호선,강남역,222,20220927,20221226,211,성수역,211,성수역,223,교대역,0,0,SUN,07,50,"[4, 7, 7, 14, 18, 14, 17, 7, 8, 4]"
4,2호선,강남역,222,20220927,20221226,211,성수역,211,성수역,221,역삼역,1,0,SUN,07,00,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
4,2호선,강남역,222,20220927,20221226,211,성수역,211,성수역,221,역삼역,1,0,SUN,07,10,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
4,2호선,강남역,222,20220927,20221226,211,성수역,211,성수역,221,역삼역,1,0,SUN,07,20,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
4,2호선,강남역,222,20220927,20221226,211,성수역,211,성수역,221,역삼역,1,0,SUN,07,30,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
4,2호선,강남역,222,20220927,20221226,211,성수역,211,성수역,221,역삼역,1,0,SUN,07,40,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
4,2호선,강남역,222,20220927,20221226,211,성수역,211,성수역,221,역삼역,1,0,SUN,07,50,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
5,2호선,강남역,222,20220927,20221226,211,성수역,211-R,성수역,223,교대역,0,0,SUN,07,00,"[5, 7, 6, 17, 18, 14, 12, 8, 9, 3]"
5,2호선,강남역,222,20220927,20221226,211,성수역,211-R,성수역,223,교대역,0,0,SUN,07,10,"[6, 8, 7, 17, 17, 13, 13, 8, 9, 3]"
5,2호선,강남역,222,20220927,20221226,211,성수역,211-R,성수역,223,교대역,0,0,SUN,07,20,"[5, 8, 7, 17, 19, 14, 13, 8, 7, 4]"
5,2호선,강남역,222,20220927,20221226,211,성수역,211-R,성수역,223,교대역,0,0,SUN,07,30,"[5, 8, 6, 16, 18, 15, 14, 8, 6, 3]"
5,2호선,강남역,222,20220927,20221226,211,성수역,211-R,성수역,223,교대역,0,0,SUN,07,40,"[4, 7, 6, 15, 19, 14, 16, 7, 7, 3]"
5,2호선,강남역,222,20220927,20221226,211,성수역,211-R,성수역,223,교대역,0,0,SUN,07,50,"[4, 7, 7, 14, 18, 14, 17, 7, 8, 4]"
6,2호선,강남역,222,20220927,20221226,211,성수역,211-R,성수역,221,역삼역,1,0,SUN,07,00,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
6,2호선,강남역,222,20220927,20221226,211,성수역,211-R,성수역,221,역삼역,1,0,SUN,07,10,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
6,2호선,강남역,222,20220927,20221226,211,성수역,211-R,성수역,221,역삼역,1,0,SUN,07,20,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
6,2호선,강남역,222,20220927,20221226,211,성수역,211-R,성수역,221,역삼역,1,0,SUN,07,30,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
6,2호선,강남역,222,20220927,20221226,211,성수역,211-R,성수역,221,역삼역,1,0,SUN,07,40,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
6,2호선,강남역,222,20220927,20221226,211,성수역,211-R,성수역,221,역삼역,1,0,SUN,07,50,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
7,2호선,강남역,222,20220927,20221226,211,성수역,219,삼성역,223,교대역,0,0,SUN,07,00,"[5, 7, 6, 16, 19, 14, 14, 8, 9, 3]"
7,2호선,강남역,222,20220927,20221226,211,성수역,219,삼성역,223,교대역,0,0,SUN,07,10,"[6, 8, 7, 17, 17, 13, 13, 8, 9, 3]"
7,2호선,강남역,222,20220927,20221226,211,성수역,219,삼성역,223,교대역,0,0,SUN,07,20,"[6, 8, 7, 17, 19, 13, 13, 8, 7, 4]"
7,2호선,강남역,222,20220927,20221226,211,성수역,219,삼성역,223,교대역,0,0,SUN,07,30,"[5, 8, 6, 16, 18, 15, 14, 8, 7, 3]"
7,2호선,강남역,222,20220927,20221226,211,성수역,219,삼성역,223,교대역,0,0,SUN,07,40,"[4, 7, 6, 15, 19, 14, 16, 7, 7, 3]"
7,2호선,강남역,222,20220927,20221226,211,성수역,219,삼성역,223,교대역,0,0,SUN,07,50,"[4, 7, 7, 14, 18, 14, 17, 7, 8, 4]"
8,2호선,강남역,222,20220927,20221226,211,성수역,228,서울대입구역,221,역삼역,1,0,SUN,07,00,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
8,2호선,강남역,222,20220927,20221226,211,성수역,228,서울대입구역,221,역삼역,1,0,SUN,07,10,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
8,2호선,강남역,222,20220927,20221226,211,성수역,228,서울대입구역,221,역삼역,1,0,SUN,07,20,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
8,2호선,강남역,222,20220927,20221226,211,성수역,228,서울대입구역,221,역삼역,1,0,SUN,07,30,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
8,2호선,강남역,222,20220927,20221226,211,성수역,228,서울대입구역,221,역삼역,1,0,SUN,07,40,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
8,2호선,강남역,222,20220927,20221226,211,성수역,228,서울대입구역,221,역삼역,1,0,SUN,07,50,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
9,2호선,강남역,222,20220927,20221226,211,성수역,234,신도림역,221,역삼역,1,0,SUN,07,00,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
9,2호선,강남역,222,20220927,20221226,211,성수역,234,신도림역,221,역삼역,1,0,SUN,07,10,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
9,2호선,강남역,222,20220927,20221226,211,성수역,234,신도림역,221,역삼역,1,0,SUN,07,20,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
9,2호선,강남역,222,20220927,20221226,211,성수역,234,신도림역,221,역삼역,1,0,SUN,07,30,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
9,2호선,강남역,222,20220927,20221226,211,성수역,234,신도림역,221,역삼역,1,0,SUN,07,40,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
9,2호선,강남역,222,20220927,20221226,211,성수역,234,신도림역,221,역삼역,1,0,SUN,07,50,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
10,2호선,강남역,222,20220927,20221226,211,성수역,239,홍대입구역,221,역삼역,1,0,SUN,07,00,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
10,2호선,강남역,222,20220927,20221226,211,성수역,239,홍대입구역,221,역삼역,1,0,SUN,07,10,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
10,2호선,강남역,222,20220927,20221226,211,성수역,239,홍대입구역,221,역삼역,1,0,SUN,07,20,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
10,2호선,강남역,222,20220927,20221226,211,성수역,239,홍대입구역,221,역삼역,1,0,SUN,07,30,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
10,2호선,강남역,222,20220927,20221226,211,성수역,239,홍대입구역,221,역삼역,1,0,SUN,07,40,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
10,2호선,강남역,222,20220927,20221226,211,성수역,239,홍대입구역,221,역삼역,1,0,SUN,07,50,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
11,2호선,강남역,222,20220927,20221226,219,삼성역,211-R,성수역,221,역삼역,1,0,SUN,07,00,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
11,2호선,강남역,222,20220927,20221226,219,삼성역,211-R,성수역,221,역삼역,1,0,SUN,07,10,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
11,2호선,강남역,222,20220927,20221226,219,삼성역,211-R,성수역,221,역삼역,1,0,SUN,07,20,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
11,2호선,강남역,222,20220927,20221226,219,삼성역,211-R,성수역,221,역삼역,1,0,SUN,07,30,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
11,2호선,강남역,222,20220927,20221226,219,삼성역,211-R,성수역,221,역삼역,1,0,SUN,07,40,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
11,2호선,강남역,222,20220927,20221226,219,삼성역,211-R,성수역,221,역삼역,1,0,SUN,07,50,"[6, 11, 11, 14, 12, 15, 13, 7, 6, 5]"
12,2호선,강남역,222,20220927,20221226,228,서울대입구역,211,성수역,223,교대역,0,0,SUN,07,00,"[5, 7, 6, 16, 19, 14, 14, 8, 9, 3]"
12,2호선,강남역,222,20220927,20221226,228,서울대입구역,211,성수역,223,교대역,0,0,SUN,07,10,"[6, 8, 7, 17, 17, 13, 13, 8, 9, 3]"
12,2호선,강남역,222,20220927,20221226,228,서울대입구역,211,성수역,223,교대역,0,0,SUN,07,20,"[6, 8, 7, 17, 19, 13, 13, 8, 7, 4]"
12,2호선,강남역,222,20220927,20221226,228,서울대입구역,211,성수역,223,교대역,0,0,SUN,07,30,"[5, 8, 6, 16, 18, 15, 14, 8, 7, 3]"
12,2호선,강남역,222,20220927,20221226,228,서울대입구역,211,성수역,223,교대역,0,0,SUN,07,40,"[4, 7, 6, 15, 19, 14, 16, 7, 7, 3]"
12,2호선,강남역,222,20220927,20221226,228,서울대입구역,211,성수역,223,교대역,0,0,SUN,07,50,"[4, 7, 7, 14, 18, 14, 17, 7, 8, 4]"
13,2호선,강남역,222,20220927,20221226,228,서울대입구역,211-R,성수역,223,교대역,0,0,SUN,07,00,"[5, 7, 6, 16, 19, 14, 14, 8, 9, 3]"
13,2호선,강남역,222,20220927,20221226,228,서울대입구역,211-R,성수역,223,교대역,0,0,SUN,07,10,"[6, 8, 7, 17, 17, 13, 13, 8, 9, 3]"
13,2호선,강남역,222,20220927,20221226,228,서울대입구역,211-R,성수역,223,교대역,0,0,SUN,07,20,"[6, 8, 7, 17, 19, 13, 13, 8, 7, 4]"
13,2호선,강남역,222,20220927,20221226,228,서울대입구역,211-R,성수역,223,교대역,0,0,SUN,07,30,"[5, 8, 6, 16, 18, 15, 14, 8, 7, 3]"
13,2호선,강남역,222,20220927,20221226,228,서울대입구역,211-R,성수역,223,교대역,0,0,SUN,07,40,"[4, 7, 6, 15, 19, 14, 16, 7, 7, 3]"
13,2호선,강남역,222,20220927,20221226,228,서울대입구역,211-R,성수역,223,교대역,0,0,SUN,07,50,"[4, 7, 7, 14, 18, 14, 17, 7, 8, 4]"
14,2호선,강남역,222,20220927,20221226,234,신도림역,211,성수역,223,교대역,0,0,SUN,07,00,"[5, 7, 6, 16, 19, 14, 14, 8, 9, 3]"
14,2호선,강남역,222,20220927,20221226,234,신도림역,211,성수역,223,교대역,0,0,SUN,07,10,"[6, 8, 7, 17, 17, 13, 13, 8, 9, 3]"
14,2호선,강남역,222,20220927,20221226,234,신도림역,211,성수역,223,교대역,0,0,SUN,07,20,"[6, 8, 7, 17, 19, 13, 13, 8, 7, 4]"
14,2호선,강남역,222,20220927,20221226,234,신도림역,211,성수역,223,교대역,0,0,SUN,07,30,"[5, 8, 6, 16, 18, 15, 14, 8, 7, 3]"
14,2호선,강남역,222,20220927,20221226,234,신도림역,211,성수역,223,교대역,0,0,SUN,07,40,"[4, 7, 6, 15, 19, 14, 16, 7, 7, 3]"
