,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,getOffCarRate
0,2호선,삼성역,219,20221002,20230101,202,을지로입구역,211,성수역,220,선릉역,0,0,SAT,19,00,"[5, 8, 8, 11, 10, 9, 12, 16, 9, 12]"
0,2호선,삼성역,219,20221002,20230101,202,을지로입구역,211,성수역,220,선릉역,0,0,SAT,19,10,"[5, 8, 8, 11, 10, 9, 12, 16, 9, 12]"
0,2호선,삼성역,219,20221002,20230101,202,을지로입구역,211,성수역,220,선릉역,0,0,SAT,19,20,"[5, 8, 8, 11, 10, 9, 12, 16, 9, 12]"
0,2호선,삼성역,219,20221002,20230101,202,을지로입구역,211,성수역,220,선릉역,0,0,SAT,19,30,"[5, 8, 8, 11, 10, 9, 12, 16, 9, 12]"
0,2호선,삼성역,219,20221002,20230101,202,을지로입구역,211,성수역,220,선릉역,0,0,SAT,19,40,"[5, 8, 8, 11, 10, 9, 12, 16, 9, 12]"
0,2호선,삼성역,219,20221002,20230101,202,을지로입구역,211,성수역,220,선릉역,0,0,SAT,19,50,"[5, 8, 8, 11, 10, 9, 12, 16, 9, 12]"
1,2호선,삼성역,219,20221002,20230101,202,을지로입구역,211-R,성수역,220,선릉역,0,0,SAT,19,00,"[5, 8, 8, 11, 10, 9, 12, 16, 9, 12]"
1,2호선,삼성역,219,20221002,20230101,202,을지로입구역,211-R,성수역,220,선릉역,0,0,SAT,19,10,"[5, 8, 8, 11, 10, 9, 12, 16, 9, 12]"
1,2호선,삼성역,219,20221002,20230101,202,을지로입구역,211-R,성수역,220,선릉역,0,0,SAT,19,20,"[5, 8, 8, 11, 10, 9, 12, 16, 9, 12]"
1,2호선,삼성역,219,20221002,20230101,202,을지로입구역,211-R,성수역,220,선릉역,0,0,SAT,19,30,"[5, 8, 8, 11, 10, 9, 12, 16, 9, 12]"
1,2호선,삼성역,219,20221002,20230101,202,을지로입구역,211-R,성수역,220,선릉역,0,0,SAT,19,40,"[5, 8, 8, 11, 10, 9, 12, 16, 9, 12]"
1,2호선,삼성역,219,20221002,20230101,202,을지로입구역,211-R,성수역,220,선릉역,0,0,SAT,19,50,"[5, 8, 8, 11, 10, 9, 12, 16, 9, 12]"
2,2호선,삼성역,219,20221002,20230101,211,성수역,202,을지로입구역,218,종합운동장역,1,0,SAT,19,00,"[10, 9, 18, 11, 9, 10, 10, 8, 8, 6]"
2,2호선,삼성역,219,20221002,20230101,211,성수역,202,을지로입구역,218,종합운동장역,1,0,SAT,19,10,"[10, 9, 18, 11, 9, 10, 10, 8, 8, 6]"
2,2호선,삼성역,219,20221002,20230101,211,성수역,202,을지로입구역,218,종합운동장역,1,0,SAT,19,20,"[10, 9, 18, 11, 9, 10, 10, 8, 8, 6]"
2,2호선,삼성역,219,20221002,20230101,211,성수역,202,을지로입구역,218,종합운동장역,1,0,SAT,19,30,"[10, 9, 18, 11, 9, 10, 10, 8, 8, 6]"
2,2호선,삼성역,219,20221002,20230101,211,성수역,202,을지로입구역,218,종합운동장역,1,0,SAT,19,40,"[10, 9, 18, 11, 9, 10, 10, 8, 8, 6]"
2,2호선,삼성역,219,20221002,20230101,211,성수역,202,을지로입구역,218,종합운동장역,1,0,SAT,19,50,"[10, 9, 18, 11, 9, 10, 10, 8, 8, 6]"
3,2호선,삼성역,219,20221002,20230101,211,성수역,211,성수역,220,선릉역,0,0,SAT,19,00,"[5, 8, 8, 11, 10, 9, 12, 16, 9, 12]"
3,2호선,삼성역,219,20221002,20230101,211,성수역,211,성수역,220,선릉역,0,0,SAT,19,10,"[5, 8, 8, 11, 10, 9, 12, 16, 9, 12]"
3,2호선,삼성역,219,20221002,20230101,211,성수역,211,성수역,220,선릉역,0,0,SAT,19,20,"[5, 8, 8, 11, 10, 9, 12, 16, 9, 12]"
3,2호선,삼성역,219,20221002,20230101,211,성수역,211,성수역,220,선릉역,0,0,SAT,19,30,"[5, 8, 8, 11, 10, 9, 12, 16, 9, 12]"
3,2호선,삼성역,219,20221002,20230101,211,성수역,211,성수역,220,선릉역,0,0,SAT,19,40,"[5, 8, 8, 11, 10, 9, 12, 16, 9, 12]"
3,2호선,삼성역,219,20221002,20230101,211,성수역,211,성수역,220,선릉역,0,0,SAT,19,50,"[5, 8, 8, 11, 10, 9, 12, 16, 9, 12]"
4,2호선,삼성역,219,20221002,20230101,211,성수역,211,성수역,218,종합운동장역,1,0,SAT,19,00,"[10, 9, 18, 11, 9, 10, 10, 8, 8, 6]"
4,2호선,삼성역,219,20221002,20230101,211,성수역,211,성수역,218,종합운동장역,1,0,SAT,19,10,"[10, 9, 18, 11, 9, 10, 10, 8, 8, 6]"
