,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,getOffCarRate
0,2호선,선릉역,220,20220930,20221229,202,을지로입구역,211,성수역,221,역삼역,0,0,SAT,17,00,"[3, 5, 10, 12, 16, 14, 13, 10, 11, 7]"
0,2호선,선릉역,220,20220930,20221229,202,을지로입구역,211,성수역,221,역삼역,0,0,SAT,17,10,"[3, 6, 9, 13, 16, 14, 13, 10, 10, 7]"
0,2호선,선릉역,220,20220930,20221229,202,을지로입구역,211,성수역,221,역삼역,0,0,SAT,17,20,"[3, 5, 8, 13, 15, 16, 13, 11, 10, 6]"
0,2호선,선릉역,220,20220930,20221229,202,을지로입구역,211,성수역,221,역삼역,0,0,SAT,17,30,"[2, 5, 8, 13, 16, 15, 14, 10, 10, 6]"
0,2호선,선릉역,220,20220930,20221229,202,을지로입구역,211,성수역,221,역삼역,0,0,SAT,17,40,"[2, 5, 8, 12, 17, 15, 13, 10, 10, 8]"
0,2호선,선릉역,220,20220930,20221229,202,을지로입구역,211,성수역,221,역삼역,0,0,SAT,17,50,"[3, 5, 9, 12, 16, 16, 13, 10, 10, 7]"
1,2호선,선릉역,220,20220930,20221229,202,을지로입구역,211-R,성수역,221,역삼역,0,0,SAT,17,00,"[3, 5, 10, 12, 16, 14, 13, 10, 11, 7]"
1,2호선,선릉역,220,20220930,20221229,202,을지로입구역,211-R,성수역,221,역삼역,0,0,SAT,17,10,"[3, 6, 9, 13, 16, 14, 13, 10, 10, 7]"
1,2호선,선릉역,220,20220930,20221229,202,을지로입구역,211-R,성수역,221,역삼역,0,0,SAT,17,20,"[3, 5, 8, 13, 15, 16, 13, 11, 10, 6]"
1,2호선,선릉역,220,20220930,20221229,202,을지로입구역,211-R,성수역,221,역삼역,0,0,SAT,17,30,"[2, 5, 8, 13, 16, 15, 14, 10, 10, 6]"
1,2호선,선릉역,220,20220930,20221229,202,을지로입구역,211-R,성수역,221,역삼역,0,0,SAT,17,40,"[2, 5, 8, 12, 17, 15, 13, 10, 10, 8]"
1,2호선,선릉역,220,20220930,20221229,202,을지로입구역,211-R,성수역,221,역삼역,0,0,SAT,17,50,"[3, 5, 9, 12, 16, 16, 13, 10, 10, 7]"
2,2호선,선릉역,220,20220930,20221229,211,성수역,202,을지로입구역,219,삼성역,1,0,SAT,17,00,"[3, 11, 12, 11, 12, 14, 11, 10, 9, 7]"
2,2호선,선릉역,220,20220930,20221229,211,성수역,202,을지로입구역,219,삼성역,1,0,SAT,17,10,"[3, 11, 12, 11, 12, 13, 13, 9, 10, 6]"
2,2호선,선릉역,220,20220930,20221229,211,성수역,202,을지로입구역,219,삼성역,1,0,SAT,17,20,"[4, 10, 11, 11, 12, 13, 15, 8, 11, 6]"
