,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,getOffCarRate
0,2호선,시청역,201,20220929,20221228,202,을지로입구역,211,성수역,202,을지로입구역,0,0,FRI,16,00,"[6, 5, 7, 10, 9, 11, 12, 8, 12, 20]"
0,2호선,시청역,201,20220929,20221228,202,을지로입구역,211,성수역,202,을지로입구역,0,0,FRI,16,10,"[6, 5, 6, 10, 9, 10, 12, 8, 12, 21]"
0,2호선,시청역,201,20220929,20221228,202,을지로입구역,211,성수역,202,을지로입구역,0,0,FRI,16,20,"[6, 6, 6, 10, 9, 10, 12, 7, 12, 22]"
0,2호선,시청역,201,20220929,20221228,202,을지로입구역,211,성수역,202,을지로입구역,0,0,FRI,16,30,"[6, 6, 6, 10, 9, 10, 13, 7, 11, 22]"
0,2호선,시청역,201,20220929,20221228,202,을지로입구역,211,성수역,202,을지로입구역,0,0,FRI,16,40,"[5, 6, 6, 10, 9, 10, 13, 7, 11, 23]"
0,2호선,시청역,201,20220929,20221228,202,을지로입구역,211,성수역,202,을지로입구역,0,0,FRI,16,50,"[5, 7, 6, 9, 10, 10, 13, 7, 10, 23]"
1,2호선,시청역,201,20220929,20221228,202,을지로입구역,211-R,성수역,202,을지로입구역,0,0,FRI,16,00,"[6, 5, 7, 10, 9, 11, 12, 8, 12, 20]"
1,2호선,시청역,201,20220929,20221228,202,을지로입구역,211-R,성수역,202,을지로입구역,0,0,FRI,16,10,"[6, 5, 6, 10, 9, 10, 12, 8, 12, 21]"
1,2호선,시청역,201,20220929,20221228,202,을지로입구역,211-R,성수역,202,을지로입구역,0,0,FRI,16,20,"[6, 6, 6, 10, 9, 10, 12, 7, 12, 22]"
1,2호선,시청역,201,20220929,20221228,202,을지로입구역,211-R,성수역,202,을지로입구역,0,0,FRI,16,30,"[6, 6, 6, 10, 9, 10, 13, 7, 11, 22]"
