,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,getOffCarRate
0,2호선,신림역,230,20221001,20221231,202,을지로입구역,211,성수역,231,신대방역,0,0,MON,06,00,"[8, 8, 13, 11, 14, 10, 9, 10, 9, 8]"
0,2호선,신림역,230,20221001,20221231,202,을지로입구역,211,성수역,231,신대방역,0,0,MON,06,10,"[8, 8, 13, 12, 15, 10, 10, 10, 8, 8]"
0,2호선,신림역,230,20221001,20221231,202,을지로입구역,211,성수역,231,신대방역,0,0,MON,06,20,"[8, 8, 14, 11, 14, 9, 10, 10, 8, 8]"
0,2호선,신림역,230,20221001,20221231,202,을지로입구역,211,성수역,231,신대방역,0,0,MON,06,30,"[8, 8, 13, 12, 16, 10, 10, 9, 7, 8]"
0,2호선,신림역,230,20221001,20221231,202,을지로입구역,211,성수역,231,신대방역,0,0,MON,06,40,"[8, 9, 12, 12, 16, 10, 10, 9, 7, 8]"
0,2호선,신림역,230,20221001,20221231,202,을지로입구역,211,성수역,231,신대방역,0,0,MON,06,50,"[8, 9, 13, 11, 14, 10, 11, 9, 7, 8]"
1,2호선,신림역,230,20221001,20221231,202,을지로입구역,211-R,성수역,231,신대방역,0,0,MON,06,00,"[8, 8, 12, 12, 15, 10, 9, 9, 9, 8]"
1,2호선,신림역,230,20221001,20221231,202,을지로입구역,211-R,성수역,231,신대방역,0,0,MON,06,10,"[8, 8, 13, 12, 15, 10, 9, 9, 7, 8]"
1,2호선,신림역,230,20221001,20221231,202,을지로입구역,211-R,성수역,231,신대방역,0,0,MON,06,20,"[8, 8, 13, 11, 15, 9, 10, 9, 7, 8]"
1,2호선,신림역,230,20221001,20221231,202,을지로입구역,211-R,성수역,231,신대방역,0,0,MON,06,30,"[8, 8, 13, 12, 16, 10, 10, 9, 7, 8]"
1,2호선,신림역,230,20221001,20221231,202,을지로입구역,211-R,성수역,231,신대방역,0,0,MON,06,40,"[8, 9, 12, 12, 16, 10, 10, 9, 7, 8]"
1,2호선,신림역,230,20221001,20221231,202,을지로입구역,211-R,성수역,231,신대방역,0,0,MON,06,50,"[8, 9, 13, 11, 14, 10, 11, 9, 7, 8]"
2,2호선,신림역,230,20221001,20221231,211,성수역,202,을지로입구역,229,봉천역,1,0,MON,06,00,"[8, 10, 8, 11, 10, 15, 10, 14, 7, 6]"
2,2호선,신림역,230,20221001,20221231,211,성수역,202,을지로입구역,229,봉천역,1,0,MON,06,10,"[2, 6, 5, 7, 15, 24, 14, 16, 7, 5]"
2,2호선,신림역,230,20221001,20221231,211,성수역,202,을지로입구역,229,봉천역,1,0,MON,06,20,"[3, 8, 7, 9, 14, 18, 12, 16, 8, 5]"
2,2호선,신림역,230,20221001,20221231,211,성수역,202,을지로입구역,229,봉천역,1,0,MON,06,30,"[4, 8, 7, 10, 13, 18, 12, 16, 7, 5]"
2,2호선,신림역,230,20221001,20221231,211,성수역,202,을지로입구역,229,봉천역,1,0,MON,06,40,"[5, 8, 7, 11, 13, 18, 12, 13, 7, 5]"
2,2호선,신림역,230,20221001,20221231,211,성수역,202,을지로입구역,229,봉천역,1,0,MON,06,50,"[6, 8, 8, 11, 12, 18, 13, 13, 6, 4]"
3,2호선,신림역,230,20221001,20221231,211,성수역,211,성수역,231,신대방역,0,0,MON,06,00,"[8, 8, 13, 11, 14, 10, 9, 10, 9, 8]"
3,2호선,신림역,230,20221001,20221231,211,성수역,211,성수역,231,신대방역,0,0,MON,06,10,"[8, 8, 13, 12, 15, 10, 10, 10, 8, 8]"
3,2호선,신림역,230,20221001,20221231,211,성수역,211,성수역,231,신대방역,0,0,MON,06,20,"[8, 8, 14, 11, 14, 9, 10, 10, 8, 8]"
3,2호선,신림역,230,20221001,20221231,211,성수역,211,성수역,231,신대방역,0,0,MON,06,30,"[8, 8, 13, 12, 16, 10, 10, 9, 7, 8]"
3,2호선,신림역,230,20221001,20221231,211,성수역,211,성수역,231,신대방역,0,0,MON,06,40,"[8, 9, 12, 12, 16, 10, 10, 9, 7, 8]"
3,2호선,신림역,230,20221001,20221231,211,성수역,211,성수역,231,신대방역,0,0,MON,06,50,"[8, 9, 13, 11, 14, 10, 11, 9, 7, 8]"
