,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,getOffCarRate
0,2호선,역삼역,221,20220927,20221226,202,을지로입구역,211,성수역,222,강남역,0,0,FRI,19,00,"[9, 8, 8, 15, 16, 15, 9, 9, 6, 5]"
0,2호선,역삼역,221,20220927,20221226,202,을지로입구역,211,성수역,222,강남역,0,0,FRI,19,10,"[9, 8, 8, 14, 16, 14, 9, 10, 6, 5]"
0,2호선,역삼역,221,20220927,20221226,202,을지로입구역,211,성수역,222,강남역,0,0,FRI,19,20,"[10, 8, 8, 15, 16, 13, 8, 10, 7, 5]"
0,2호선,역삼역,221,20220927,20221226,202,을지로입구역,211,성수역,222,강남역,0,0,FRI,19,30,"[9, 8, 8, 15, 16, 14, 8, 11, 7, 5]"
0,2호선,역삼역,221,20220927,20221226,202,을지로입구역,211,성수역,222,강남역,0,0,FRI,19,40,"[9, 8, 8, 15, 16, 15, 8, 10, 6, 5]"
0,2호선,역삼역,221,20220927,20221226,202,을지로입구역,211,성수역,222,강남역,0,0,FRI,19,50,"[8, 9, 8, 16, 15, 15, 8, 10, 6, 5]"
1,2호선,역삼역,221,20220927,20221226,202,을지로입구역,211-R,성수역,222,강남역,0,0,FRI,19,00,"[9, 8, 8, 15, 16, 15, 9, 9, 6, 5]"
1,2호선,역삼역,221,20220927,20221226,202,을지로입구역,211-R,성수역,222,강남역,0,0,FRI,19,10,"[9, 8, 8, 14, 16, 14, 9, 10, 6, 5]"
1,2호선,역삼역,221,20220927,20221226,202,을지로입구역,211-R,성수역,222,강남역,0,0,FRI,19,20,"[10, 8, 8, 15, 16, 13, 8, 10, 7, 5]"
1,2호선,역삼역,221,20220927,20221226,202,을지로입구역,211-R,성수역,222,강남역,0,0,FRI,19,30,"[9, 8, 8, 15, 16, 14, 8, 11, 7, 5]"
1,2호선,역삼역,221,20220927,20221226,202,을지로입구역,211-R,성수역,222,강남역,0,0,FRI,19,40,"[9, 8, 8, 15, 16, 15, 8, 10, 6, 5]"
1,2호선,역삼역,221,20220927,20221226,202,을지로입구역,211-R,성수역,222,강남역,0,0,FRI,19,50,"[8, 9, 8, 16, 15, 15, 8, 10, 6, 5]"
2,2호선,역삼역,221,20220927,20221226,211,성수역,202,을지로입구역,220,선릉역,1,0,FRI,19,00,"[3, 9, 14, 9, 11, 8, 14, 8, 13, 12]"
2,2호선,역삼역,221,20220927,20221226,211,성수역,202,을지로입구역,220,선릉역,1,0,FRI,19,10,"[3, 8, 13, 8, 11, 8, 14, 9, 14, 13]"
2,2호선,역삼역,221,20220927,20221226,211,성수역,202,을지로입구역,220,선릉역,1,0,FRI,19,20,"[2, 7, 13, 9, 11, 8, 13, 9, 14, 15]"
2,2호선,역삼역,221,20220927,20221226,211,성수역,202,을지로입구역,220,선릉역,1,0,FRI,19,30,"[3, 9, 11, 9, 13, 8, 13, 9, 13, 14]"
2,2호선,역삼역,221,20220927,20221226,211,성수역,202,을지로입구역,220,선릉역,1,0,FRI,19,40,"[3, 7, 14, 7, 13, 8, 14, 10, 12, 11]"
2,2호선,역삼역,221,20220927,20221226,211,성수역,202,을지로입구역,220,선릉역,1,0,FRI,19,50,"[3, 7, 14, 7, 13, 8, 14, 10, 12, 11]"
3,2호선,역삼역,221,20220927,20221226,211,성수역,211,성수역,222,강남역,0,0,FRI,19,00,"[9, 8, 8, 15, 16, 15, 9, 9, 6, 5]"
3,2호선,역삼역,221,20220927,20221226,211,성수역,211,성수역,222,강남역,0,0,FRI,19,10,"[8, 8, 8, 14, 16, 15, 9, 9, 6, 5]"
3,2호선,역삼역,221,20220927,20221226,211,성수역,211,성수역,222,강남역,0,0,FRI,19,20,"[9, 8, 7, 14, 17, 14, 9, 9, 7, 5]"
3,2호선,역삼역,221,20220927,20221226,211,성수역,211,성수역,222,강남역,0,0,FRI,19,30,"[9, 8, 7, 15, 17, 14, 8, 10, 7, 6]"
3,2호선,역삼역,221,20220927,20221226,211,성수역,211,성수역,222,강남역,0,0,FRI,19,40,"[8, 8, 9, 14, 18, 15, 7, 8, 7, 6]"
3,2호선,역삼역,221,20220927,20221226,211,성수역,211,성수역,222,강남역,0,0,FRI,19,50,"[5, 10, 10, 16, 16, 15, 8, 8, 8, 6]"
4,2호선,역삼역,221,20220927,20221226,211,성수역,211,성수역,220,선릉역,1,0,FRI,19,00,"[2, 9, 13, 9, 10, 9, 14, 8, 12, 13]"
4,2호선,역삼역,221,20220927,20221226,211,성수역,211,성수역,220,선릉역,1,0,FRI,19,10,"[2, 9, 11, 9, 11, 8, 14, 7, 13, 16]"
4,2호선,역삼역,221,20220927,20221226,211,성수역,211,성수역,220,선릉역,1,0,FRI,19,20,"[2, 9, 10, 10, 11, 8, 14, 7, 13, 17]"
4,2호선,역삼역,221,20220927,20221226,211,성수역,211,성수역,220,선릉역,1,0,FRI,19,30,"[3, 10, 9, 10, 13, 8, 13, 8, 13, 14]"
4,2호선,역삼역,221,20220927,20221226,211,성수역,211,성수역,220,선릉역,1,0,FRI,19,40,"[3, 7, 14, 7, 13, 8, 14, 10, 12, 11]"
4,2호선,역삼역,221,20220927,20221226,211,성수역,211,성수역,220,선릉역,1,0,FRI,19,50,"[3, 7, 14, 7, 13, 8, 14, 10, 12, 11]"
5,2호선,역삼역,221,20220927,20221226,211,성수역,211-R,성수역,222,강남역,0,0,FRI,19,00,"[9, 8, 8, 15, 16, 15, 9, 9, 6, 5]"
5,2호선,역삼역,221,20220927,20221226,211,성수역,211-R,성수역,222,강남역,0,0,FRI,19,10,"[9, 8, 8, 14, 16, 14, 9, 10, 6, 5]"
5,2호선,역삼역,221,20220927,20221226,211,성수역,211-R,성수역,222,강남역,0,0,FRI,19,20,"[10, 8, 8, 14, 17, 14, 9, 10, 6, 5]"
5,2호선,역삼역,221,20220927,20221226,211,성수역,211-R,성수역,222,강남역,0,0,FRI,19,30,"[9, 8, 8, 14, 17, 14, 8, 11, 6, 5]"
5,2호선,역삼역,221,20220927,20221226,211,성수역,211-R,성수역,222,강남역,0,0,FRI,19,40,"[9, 8, 8, 14, 16, 15, 8, 10, 6, 5]"
5,2호선,역삼역,221,20220927,20221226,211,성수역,211-R,성수역,222,강남역,0,0,FRI,19,50,"[8, 8, 7, 15, 15, 15, 9, 11, 6, 4]"
6,2호선,역삼역,221,20220927,20221226,211,성수역,211-R,성수역,220,선릉역,1,0,FRI,19,00,"[3, 9, 14, 9, 11, 8, 13, 8, 14, 11]"
6,2호선,역삼역,221,20220927,20221226,211,성수역,211-R,성수역,220,선릉역,1,0,FRI,19,10,"[3, 8, 13, 8, 11, 8, 14, 9, 14, 12]"
6,2호선,역삼역,221,20220927,20221226,211,성수역,211-R,성수역,220,선릉역,1,0,FRI,19,20,"[2, 7, 13, 8, 12, 8, 14, 10, 14, 13]"
6,2호선,역삼역,221,20220927,20221226,211,성수역,211-R,성수역,220,선릉역,1,0,FRI,19,30,"[2, 8, 11, 8, 14, 9, 14, 9, 13, 13]"
6,2호선,역삼역,221,20220927,20221226,211,성수역,211-R,성수역,220,선릉역,1,0,FRI,19,40,"[3, 7, 14, 7, 13, 8, 14, 10, 12, 11]"
6,2호선,역삼역,221,20220927,20221226,211,성수역,211-R,성수역,220,선릉역,1,0,FRI,19,50,"[3, 7, 14, 7, 13, 8, 14, 10, 12, 11]"
7,2호선,역삼역,221,20220927,20221226,211,성수역,219,삼성역,222,강남역,0,0,FRI,19,00,"[9, 8, 8, 15, 16, 15, 9, 9, 6, 5]"
7,2호선,역삼역,221,20220927,20221226,211,성수역,219,삼성역,222,강남역,0,0,FRI,19,10,"[9, 8, 8, 14, 16, 14, 9, 10, 6, 5]"
7,2호선,역삼역,221,20220927,20221226,211,성수역,219,삼성역,222,강남역,0,0,FRI,19,20,"[10, 8, 8, 15, 16, 13, 8, 10, 7, 5]"
7,2호선,역삼역,221,20220927,20221226,211,성수역,219,삼성역,222,강남역,0,0,FRI,19,30,"[9, 8, 8, 15, 16, 14, 8, 11, 7, 5]"
7,2호선,역삼역,221,20220927,20221226,211,성수역,219,삼성역,222,강남역,0,0,FRI,19,40,"[9, 8, 8, 15, 16, 15, 8, 10, 6, 5]"
7,2호선,역삼역,221,20220927,20221226,211,성수역,219,삼성역,222,강남역,0,0,FRI,19,50,"[8, 9, 8, 16, 15, 15, 8, 10, 6, 5]"
8,2호선,역삼역,221,20220927,20221226,211,성수역,228,서울대입구역,220,선릉역,1,0,FRI,19,00,"[3, 9, 14, 9, 11, 8, 14, 8, 13, 12]"
8,2호선,역삼역,221,20220927,20221226,211,성수역,228,서울대입구역,220,선릉역,1,0,FRI,19,10,"[3, 8, 13, 8, 11, 8, 14, 9, 14, 13]"
