,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,getOffCarRate
0,2호선,왕십리역,208,20220929,20221228,202,을지로입구역,211,성수역,207,상왕십리역,1,0,SUN,19,00,"[5, 16, 11, 11, 14, 14, 8, 9, 7, 5]"
0,2호선,왕십리역,208,20220929,20221228,202,을지로입구역,211,성수역,207,상왕십리역,1,0,SUN,19,10,"[5, 15, 11, 11, 13, 15, 8, 9, 8, 5]"
0,2호선,왕십리역,208,20220929,20221228,202,을지로입구역,211,성수역,207,상왕십리역,1,0,SUN,19,20,"[5, 15, 12, 11, 14, 15, 8, 8, 7, 5]"
0,2호선,왕십리역,208,20220929,20221228,202,을지로입구역,211,성수역,207,상왕십리역,1,0,SUN,19,30,"[5, 15, 12, 12, 14, 15, 9, 8, 7, 5]"
0,2호선,왕십리역,208,20220929,20221228,202,을지로입구역,211,성수역,207,상왕십리역,1,0,SUN,19,40,"[6, 15, 12, 13, 12, 15, 9, 7, 7, 5]"
0,2호선,왕십리역,208,20220929,20221228,202,을지로입구역,211,성수역,207,상왕십리역,1,0,SUN,19,50,"[6, 15, 12, 12, 13, 15, 9, 7, 6, 4]"
1,2호선,왕십리역,208,20220929,20221228,202,을지로입구역,211-R,성수역,207,상왕십리역,1,0,SUN,19,00,"[5, 16, 11, 11, 14, 14, 8, 9, 7, 5]"
1,2호선,왕십리역,208,20220929,20221228,202,을지로입구역,211-R,성수역,207,상왕십리역,1,0,SUN,19,10,"[5, 15, 11, 11, 13, 15, 8, 9, 8, 5]"
1,2호선,왕십리역,208,20220929,20221228,202,을지로입구역,211-R,성수역,207,상왕십리역,1,0,SUN,19,20,"[5, 15, 12, 11, 14, 15, 8, 8, 7, 5]"
1,2호선,왕십리역,208,20220929,20221228,202,을지로입구역,211-R,성수역,207,상왕십리역,1,0,SUN,19,30,"[5, 15, 12, 12, 14, 15, 9, 8, 7, 5]"
1,2호선,왕십리역,208,20220929,20221228,202,을지로입구역,211-R,성수역,207,상왕십리역,1,0,SUN,19,40,"[6, 15, 12, 13, 12, 15, 9, 7, 7, 5]"
