,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,getOffCarRate
0,2호선,잠실역,216,20220927,20221226,202,을지로입구역,211,성수역,217,잠실새내역,0,0,FRI,18,00,"[18, 12, 11, 11, 9, 10, 9, 8, 9, 5]"
0,2호선,잠실역,216,20220927,20221226,202,을지로입구역,211,성수역,217,잠실새내역,0,0,FRI,18,10,"[19, 12, 11, 11, 9, 10, 8, 8, 9, 5]"
0,2호선,잠실역,216,20220927,20221226,202,을지로입구역,211,성수역,217,잠실새내역,0,0,FRI,18,20,"[19, 12, 11, 11, 9, 10, 8, 7, 9, 5]"
0,2호선,잠실역,216,20220927,20221226,202,을지로입구역,211,성수역,217,잠실새내역,0,0,FRI,18,30,"[19, 11, 10, 11, 9, 9, 8, 7, 9, 5]"
0,2호선,잠실역,216,20220927,20221226,202,을지로입구역,211,성수역,217,잠실새내역,0,0,FRI,18,40,"[19, 11, 10, 11, 9, 10, 8, 7, 9, 5]"
0,2호선,잠실역,216,20220927,20221226,202,을지로입구역,211,성수역,217,잠실새내역,0,0,FRI,18,50,"[19, 11, 10, 11, 9, 10, 9, 7, 9, 5]"
1,2호선,잠실역,216,20220927,20221226,202,을지로입구역,211-R,성수역,217,잠실새내역,0,0,FRI,18,00,"[18, 12, 11, 11, 9, 10, 9, 8, 9, 5]"
1,2호선,잠실역,216,20220927,20221226,202,을지로입구역,211-R,성수역,217,잠실새내역,0,0,FRI,18,10,"[19, 12, 11, 11, 9, 10, 8, 8, 9, 5]"
1,2호선,잠실역,216,20220927,20221226,202,을지로입구역,211-R,성수역,217,잠실새내역,0,0,FRI,18,20,"[19, 12, 11, 11, 9, 10, 8, 7, 9, 5]"
1,2호선,잠실역,216,20220927,20221226,202,을지로입구역,211-R,성수역,217,잠실새내역,0,0,FRI,18,30,"[19, 11, 10, 11, 9, 9, 8, 7, 9, 5]"
1,2호선,잠실역,216,20220927,20221226,202,을지로입구역,211-R,성수역,217,잠실새내역,0,0,FRI,18,40,"[19, 11, 10, 11, 9, 10, 8, 7, 9, 5]"
1,2호선,잠실역,216,20220927,20221226,202,을지로입구역,211-R,성수역,217,잠실새내역,0,0,FRI,18,50,"[19, 11, 10, 11, 9, 10, 9, 7, 9, 5]"
