,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,getOffCarRate
0,6호선,공덕역,626,20220929,20221228,610,응암역,626,공덕역,625,대흥역,1,0,MON,17,00,"[3, 7, 13, 14, 14, 11, 13, 26]"
0,6호선,공덕역,626,20220929,20221228,610,응암역,626,공덕역,625,대흥역,1,0,MON,17,10,"[3, 7, 14, 13, 14, 11, 12, 25]"
0,6호선,공덕역,626,20220929,20221228,610,응암역,626,공덕역,625,대흥역,1,0,MON,17,20,"[3, 7, 15, 13, 14, 11, 12, 25]"
0,6호선,공덕역,626,20220929,20221228,610,응암역,626,공덕역,625,대흥역,1,0,MON,17,30,"[3, 8, 14, 13, 14, 12, 12, 25]"
0,6호선,공덕역,626,20220929,20221228,610,응암역,626,공덕역,625,대흥역,1,0,MON,17,40,"[3, 7, 14, 12, 14, 13, 12, 26]"
0,6호선,공덕역,626,20220929,20221228,610,응암역,626,공덕역,625,대흥역,1,0,MON,17,50,"[3, 6, 13, 11, 13, 14, 12, 27]"
1,6호선,공덕역,626,20220929,20221228,610,응암역,631,한강진역,625,대흥역,1,0,MON,17,00,"[3, 7, 13, 14, 14, 11, 13, 26]"
1,6호선,공덕역,626,20220929,20221228,610,응암역,631,한강진역,625,대흥역,1,0,MON,17,10,"[3, 7, 14, 13, 14, 11, 12, 25]"
1,6호선,공덕역,626,20220929,20221228,610,응암역,631,한강진역,625,대흥역,1,0,MON,17,20,"[3, 7, 15, 13, 14, 11, 12, 25]"
1,6호선,공덕역,626,20220929,20221228,610,응암역,631,한강진역,625,대흥역,1,0,MON,17,30,"[3, 8, 14, 13, 14, 12, 12, 25]"
1,6호선,공덕역,626,20220929,20221228,610,응암역,631,한강진역,625,대흥역,1,0,MON,17,40,"[3, 7, 14, 12, 14, 13, 12, 26]"
1,6호선,공덕역,626,20220929,20221228,610,응암역,631,한강진역,625,대흥역,1,0,MON,17,50,"[3, 6, 13, 11, 13, 14, 12, 27]"
2,6호선,공덕역,626,20220929,20221228,610,응암역,647,봉화산역,625,대흥역,1,0,MON,17,00,"[2, 7, 14, 15, 15, 11, 13, 23]"
2,6호선,공덕역,626,20220929,20221228,610,응암역,647,봉화산역,625,대흥역,1,0,MON,17,10,"[3, 8, 15, 14, 15, 11, 13, 22]"
2,6호선,공덕역,626,20220929,20221228,610,응암역,647,봉화산역,625,대흥역,1,0,MON,17,20,"[3, 8, 15, 13, 15, 12, 13, 21]"
