,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,getOffCarRate
0,6호선,대흥역,625,20220930,20221230,610,응암역,626,공덕역,624,광흥창역,1,0,SAT,16,00,"[4, 7, 18, 21, 25, 13, 7, 5]"
0,6호선,대흥역,625,20220930,20221230,610,응암역,626,공덕역,624,광흥창역,1,0,SAT,16,10,"[4, 7, 18, 21, 25, 13, 7, 5]"
0,6호선,대흥역,625,20220930,20221230,610,응암역,626,공덕역,624,광흥창역,1,0,SAT,16,20,"[4, 7, 18, 21, 25, 13, 7, 5]"
0,6호선,대흥역,625,20220930,20221230,610,응암역,626,공덕역,624,광흥창역,1,0,SAT,16,30,"[4, 7, 18, 21, 25, 13, 7, 5]"
0,6호선,대흥역,625,20220930,20221230,610,응암역,626,공덕역,624,광흥창역,1,0,SAT,16,40,"[4, 7, 18, 21, 25, 13, 7, 5]"
0,6호선,대흥역,625,20220930,20221230,610,응암역,626,공덕역,624,광흥창역,1,0,SAT,16,50,"[4, 7, 18, 21, 25, 13, 7, 5]"
1,6호선,대흥역,625,20220930,20221230,610,응암역,631,한강진역,624,광흥창역,1,0,SAT,16,00,"[4, 7, 18, 21, 25, 13, 7, 5]"
1,6호선,대흥역,625,20220930,20221230,610,응암역,631,한강진역,624,광흥창역,1,0,SAT,16,10,"[4, 7, 18, 21, 25, 13, 7, 5]"
1,6호선,대흥역,625,20220930,20221230,610,응암역,631,한강진역,624,광흥창역,1,0,SAT,16,20,"[4, 7, 18, 21, 25, 13, 7, 5]"
1,6호선,대흥역,625,20220930,20221230,610,응암역,631,한강진역,624,광흥창역,1,0,SAT,16,30,"[4, 7, 18, 21, 25, 13, 7, 5]"
1,6호선,대흥역,625,20220930,20221230,610,응암역,631,한강진역,624,광흥창역,1,0,SAT,16,40,"[4, 7, 18, 21, 25, 13, 7, 5]"
1,6호선,대흥역,625,20220930,20221230,610,응암역,631,한강진역,624,광흥창역,1,0,SAT,16,50,"[4, 7, 18, 21, 25, 13, 7, 5]"
2,6호선,대흥역,625,20220930,20221230,610,응암역,639,안암역,624,광흥창역,1,0,SAT,16,00,"[4, 7, 18, 21, 25, 13, 7, 5]"
2,6호선,대흥역,625,20220930,20221230,610,응암역,639,안암역,624,광흥창역,1,0,SAT,16,10,"[4, 7, 18, 21, 25, 13, 7, 5]"
2,6호선,대흥역,625,20220930,20221230,610,응암역,639,안암역,624,광흥창역,1,0,SAT,16,20,"[4, 7, 18, 21, 25, 13, 7, 5]"
