,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,getOffCarRate
0,6호선,태릉입구역,645,20220930,20221229,610,응암역,647,봉화산역,644,석계역,1,0,MON,07,00,"[31, 12, 14, 14, 6, 7, 7, 10]"
0,6호선,태릉입구역,645,20220930,20221229,610,응암역,647,봉화산역,644,석계역,1,0,MON,07,10,"[28, 14, 14, 13, 6, 7, 7, 10]"
0,6호선,태릉입구역,645,20220930,20221229,610,응암역,647,봉화산역,644,석계역,1,0,MON,07,20,"[30, 14, 14, 13, 6, 8, 8, 9]"
0,6호선,태릉입구역,645,20220930,20221229,610,응암역,647,봉화산역,644,석계역,1,0,MON,07,30,"[31, 13, 11, 15, 6, 8, 7, 8]"
0,6호선,태릉입구역,645,20220930,20221229,610,응암역,647,봉화산역,644,석계역,1,0,MON,07,40,"[30, 12, 11, 15, 7, 9, 7, 9]"
0,6호선,태릉입구역,645,20220930,20221229,610,응암역,647,봉화산역,644,석계역,1,0,MON,07,50,"[30, 14, 11, 15, 7, 8, 7, 8]"
1,6호선,태릉입구역,645,20220930,20221229,610,응암역,648,신내역,644,석계역,1,0,MON,07,00,"[28, 8, 14, 20, 6, 7, 8, 9]"
1,6호선,태릉입구역,645,20220930,20221229,610,응암역,648,신내역,644,석계역,1,0,MON,07,10,"[26, 11, 14, 18, 6, 7, 9, 10]"
1,6호선,태릉입구역,645,20220930,20221229,610,응암역,648,신내역,644,석계역,1,0,MON,07,20,"[25, 11, 13, 21, 6, 7, 8, 9]"
1,6호선,태릉입구역,645,20220930,20221229,610,응암역,648,신내역,644,석계역,1,0,MON,07,30,"[27, 11, 11, 22, 7, 8, 7, 8]"
1,6호선,태릉입구역,645,20220930,20221229,610,응암역,648,신내역,644,석계역,1,0,MON,07,40,"[29, 11, 11, 19, 6, 8, 7, 8]"
1,6호선,태릉입구역,645,20220930,20221229,610,응암역,648,신내역,644,석계역,1,0,MON,07,50,"[30, 14, 11, 18, 7, 8, 6, 7]"
2,6호선,태릉입구역,645,20220930,20221229,613,독바위역,647,봉화산역,644,석계역,1,0,MON,07,00,"[30, 12, 13, 17, 5, 6, 7, 9]"
2,6호선,태릉입구역,645,20220930,20221229,613,독바위역,647,봉화산역,644,석계역,1,0,MON,07,10,"[28, 13, 13, 16, 5, 7, 8, 9]"
2,6호선,태릉입구역,645,20220930,20221229,613,독바위역,647,봉화산역,644,석계역,1,0,MON,07,20,"[28, 12, 13, 18, 6, 8, 8, 8]"
