,from,to,distance,time,st_line
0,서동탄역,병점역,3000,5,1호선
1,광명역,금천구청역,4700,7,1호선
2,신창역,온양온천역,5100,8,1호선
3,온양온천역,배방역,4900,8,1호선
4,배방역,아산역,4900,8,1호선
5,아산역,쌍용(나사렛대)역,1600,2,1호선
6,쌍용(나사렛대)역,봉명역,1600,2,1호선
7,봉명역,천안역,1300,2,1호선
8,천안역,두정역,3000,5,1호선
9,두정역,직산역,3800,6,1호선
10,직산역,성환역,5400,8,1호선
11,성환역,평택역,9400,14,1호선
12,평택역,지제역,3700,6,1호선
13,지제역,서정리역,4800,7,1호선
14,서정리역,송탄역,2200,3,1호선
15,송탄역,진위역,3800,6,1호선
16,진위역,오산역,4000,6,1호선
17,오산역,오산대역,2700,4,1호선
18,오산대역,세마역,2700,4,1호선
19,세마역,병점역,2400,4,1호선
20,병점역,세류역,4300,7,1호선
21,세류역,수원역,2900,4,1호선
22,수원역,화서역,2100,3,1호선
23,화서역,성균관대역,2600,4,1호선
24,성균관대역,의왕역,2900,4,1호선
25,의왕역,당정역,2600,4,1호선
26,당정역,군포역,1600,2,1호선
27,군포역,금정역,2200,3,1호선
28,금정역,명학역,1400,2,1호선
29,명학역,안양역,2200,3,1호선
30,안양역,관악역,2400,4,1호선
31,관악역,석수역,1900,3,1호선
32,석수역,금천구청역,2300,4,1호선
33,금천구청역,독산역,1200,2,1호선
34,독산역,가산디지털단지역,2000,3,1호선
35,가산디지털단지역,구로역,2400,4,1호선
36,인천역,동인천역,1900,3,1호선
37,동인천역,도원역,1200,2,1호선
38,도원역,제물포역,1400,2,1호선
39,제물포역,도화역,1000,2,1호선
40,도화역,주안역,1000,2,1호선
41,주안역,간석역,1200,2,1호선
42,간석역,동암역,1200,2,1호선
43,동암역,백운역,1500,2,1호선
44,백운역,부평역,1700,3,1호선
45,부평역,부개역,1500,2,1호선
46,부개역,송내역,1200,2,1호선
47,송내역,중동역,1000,2,1호선
48,중동역,부천역,1700,3,1호선
49,소사역,역곡역,1500,2,1호선
50,역곡역,온수역,1300,2,1호선
51,온수역,오류동역,1900,3,1호선
52,오류동역,개봉역,1300,2,1호선
53,개봉역,구일역,1000,2,1호선
54,구일역,구로역,1400,2,1호선
55,구로역,신도림역,1100,2,1호선
56,신도림역,영등포역,1500,2,1호선
57,영등포역,신길역,1000,2,1호선
58,신길역,대방역,800,2,1호선
59,대방역,노량진역,1500,2,1호선
60,노량진역,용산역,2600,4,1호선
61,용산역,남영역,1500,2,1호선
62,남영역,서울역,1700,3,1호선
63,서울역,시청역,1100,2,1호선
64,시청역,종각역,1000,2,1호선
65,종각역,종로3가역,800,2,1호선
66,종로3가역,종로5가역,900,2,1호선
67,종로5가역,동대문역,800,2,1호선
68,동묘앞역,신설동역,700,2,1호선
69,신설동역,제기동역,900,2,1호선
70,제기동역,청량리역,1000,2,1호선
71,청량리역,회기역,1400,2,1호선
72,회기역,외대앞역,800,2,1호선
73,외대앞역,신이문역,800,2,1호선
74,신이문역,석계역,1400,2,1호선
75,석계역,광운대역,1100,2,1호선
76,광운대역,월계역,1100,2,1호선
77,월계역,녹천역,1400,2,1호선
78,녹천역,창동역,1000,2,1호선
79,창동역,방학역,1700,3,1호선
80,방학역,도봉역,1300,2,1호선
81,도봉역,도봉산역,1200,2,1호선
82,도봉산역,망월사역,2300,4,1호선
83,망월사역,회룡역,1400,2,1호선
84,회룡역,의정부역,1600,2,1호선
85,의정부역,가능역,1200,2,1호선
86,가능역,녹양역,1300,2,1호선
87,녹양역,양주역,1600,2,1호선
88,양주역,덕계역,5300,8,1호선
89,덕계역,덕정역,2900,4,1호선
90,덕정역,지행역,5600,9,1호선
91,지행역,동두천중앙역,1000,2,1호선
